channel,product_type,risk_score_decile,cohort,loan_cnt,bad_cnt,bad_rate,amount_mean,amount_sum,score_mean
app,installment,3,2025-02,5,0,0.0,2301.2,11506.0,585.0
app,installment,3,2025-03,3,0,0.0,2700.0,8100.0,585.3333333333334
app,installment,3,2025-04,1,0,0.0,2259.0,2259.0,579.0
app,installment,3,2025-05,5,0,0.0,2286.8,11434.0,584.0
app,installment,3,2025-06,7,0,0.0,2952.714285714286,20669.0,585.4285714285714
app,installment,3,2025-07,3,0,0.0,3953.6666666666665,11861.0,582.3333333333334
app,installment,3,2025-08,4,0,0.0,2759.25,11037.0,585.5
app,installment,3,2025-09,3,0,0.0,3578.0,10734.0,584.3333333333334
app,installment,4,2024-01,1,0,0.0,810.0,810.0,592.0
app,installment,4,2024-02,9,0,0.0,3074.3333333333335,27669.0,594.0
app,installment,4,2024-03,4,0,0.0,2580.25,10321.0,591.75
app,installment,4,2024-04,4,0,0.0,2507.5,10030.0,596.25
app,installment,4,2024-05,7,0,0.0,2524.5714285714284,17672.0,592.4285714285714
app,installment,4,2024-06,6,1,0.16666666666666666,3036.5,18219.0,592.0
app,installment,4,2024-07,2,0,0.0,2650.0,5300.0,592.0
app,installment,4,2024-08,7,0,0.0,3022.0,21154.0,593.7142857142857
app,installment,4,2024-09,3,0,0.0,2676.6666666666665,8030.0,592.3333333333334
app,installment,4,2024-10,4,0,0.0,3138.5,12554.0,593.0
app,installment,4,2024-11,5,0,0.0,2715.0,13575.0,594.6
app,installment,4,2024-12,6,0,0.0,2108.8333333333335,12653.0,594.5
app,installment,4,2025-01,5,0,0.0,3383.0,16915.0,593.8
app,installment,4,2025-02,4,0,0.0,2863.25,11453.0,593.25
app,installment,4,2025-03,3,0,0.0,2547.6666666666665,7643.0,593.6666666666666
app,installment,4,2025-04,6,0,0.0,2776.1666666666665,16657.0,594.5
app,installment,4,2025-05,3,0,0.0,1930.3333333333333,5791.0,591.6666666666666
app,installment,4,2025-06,3,0,0.0,1127.6666666666667,3383.0,592.0
app,installment,4,2025-07,8,1,0.125,2671.25,21370.0,593.75
app,installment,4,2025-08,4,0,0.0,3082.25,12329.0,592.5
app,installment,4,2025-09,1,0,0.0,2920.0,2920.0,590.0
app,installment,5,2024-01,1,0,0.0,4263.0,4263.0,604.0
app,installment,5,2024-02,3,0,0.0,2497.3333333333335,7492.0,604.0
app,installment,5,2024-03,8,0,0.0,3041.375,24331.0,601.25
app,installment,5,2024-04,2,0,0.0,2298.5,4597.0,600.0
app,installment,5,2024-05,5,0,0.0,3026.4,15132.0,603.0
app,installment,5,2024-06,4,0,0.0,3787.0,15148.0,599.25
app,installment,5,2024-07,4,0,0.0,4448.0,17792.0,599.25
app,installment,5,2024-08,4,0,0.0,2588.75,10355.0,601.5
app,installment,5,2024-09,6,0,0.0,1882.1666666666667,11293.0,602.0
app,installment,5,2024-10,5,0,0.0,2036.8,10184.0,601.8
app,installment,5,2024-11,8,1,0.125,1721.75,13774.0,601.125
app,installment,5,2024-12,1,0,0.0,1987.0,1987.0,602.0
app,installment,5,2025-01,1,0,0.0,3087.0,3087.0,602.0
app,installment,5,2025-02,2,0,0.0,3787.5,7575.0,599.5
app,installment,5,2025-03,4,0,0.0,2964.5,11858.0,601.75
app,installment,5,2025-04,4,0,0.0,1416.25,5665.0,601.0
app,installment,5,2025-05,5,0,0.0,2628.4,13142.0,600.4
app,installment,5,2025-06,3,0,0.0,2184.0,6552.0,602.3333333333334
app,installment,5,2025-07,5,0,0.0,2836.2,14181.0,600.2
app,installment,5,2025-08,2,0,0.0,2722.5,5445.0,601.5
app,installment,5,2025-09,4,0,0.0,3057.75,12231.0,602.0
app,installment,6,2024-01,2,0,0.0,2868.5,5737.0,606.0
app,installment,6,2024-02,8,0,0.0,2754.75,22038.0,609.625
app,installment,6,2024-03,6,0,0.0,1772.5,10635.0,609.8333333333334
app,installment,6,2024-04,4,0,0.0,2535.75,10143.0,611.25
app,installment,6,2024-05,9,0,0.0,2615.222222222222,23537.0,610.2222222222222
app,installment,6,2024-06,4,0,0.0,2963.5,11854.0,608.75
app,installment,6,2024-07,4,0,0.0,2877.25,11509.0,611.25
app,installment,6,2024-08,3,0,0.0,3056.0,9168.0,609.6666666666666
app,installment,6,2024-09,5,0,0.0,2655.4,13277.0,609.0
app,installment,6,2024-10,6,0,0.0,3553.0,21318.0,609.1666666666666
app,installment,6,2024-11,9,0,0.0,3260.1111111111113,29341.0,609.4444444444445
app,installment,6,2024-12,10,0,0.0,1986.1,19861.0,610.2
app,installment,6,2025-01,4,0,0.0,3747.75,14991.0,610.5
app,installment,6,2025-02,2,0,0.0,1519.5,3039.0,608.0
app,installment,6,2025-03,4,0,0.0,3052.75,12211.0,608.75
app,installment,6,2025-04,6,0,0.0,2866.3333333333335,17198.0,609.5
app,installment,6,2025-05,3,0,0.0,2776.3333333333335,8329.0,609.0
app,installment,6,2025-06,8,0,0.0,3025.5,24204.0,608.75
app,installment,6,2025-07,5,0,0.0,2583.2,12916.0,610.2
app,installment,6,2025-08,7,0,0.0,2941.8571428571427,20593.0,608.4285714285714
app,installment,6,2025-09,6,0,0.0,1657.8333333333333,9947.0,608.1666666666666
app,installment,7,2024-01,1,0,0.0,2462.0,2462.0,616.0
app,installment,7,2024-02,7,0,0.0,2691.1428571428573,18838.0,618.2857142857143
app,installment,7,2024-03,5,0,0.0,2616.6,13083.0,615.8
app,installment,7,2024-04,2,0,0.0,3192.5,6385.0,617.0
app,installment,7,2024-05,1,0,0.0,921.0,921.0,620.0
app,installment,7,2024-06,2,0,0.0,3092.5,6185.0,616.0
app,installment,7,2024-07,8,0,0.0,2549.875,20399.0,617.5
app,installment,7,2024-08,4,0,0.0,2365.5,9462.0,616.0
app,installment,7,2024-09,2,0,0.0,2159.5,4319.0,618.0
app,installment,7,2024-10,6,0,0.0,2636.0,15816.0,619.1666666666666
app,installment,7,2024-11,5,0,0.0,1830.4,9152.0,617.2
app,installment,7,2024-12,4,0,0.0,3221.5,12886.0,618.0
app,installment,7,2025-01,3,0,0.0,2726.0,8178.0,617.6666666666666
app,installment,7,2025-02,3,0,0.0,2424.0,7272.0,616.3333333333334
app,installment,7,2025-03,4,0,0.0,2804.25,11217.0,617.75
app,installment,7,2025-04,2,0,0.0,1358.5,2717.0,615.0
app,installment,7,2025-05,4,0,0.0,2550.0,10200.0,617.0
app,installment,7,2025-06,3,0,0.0,3256.6666666666665,9770.0,617.0
app,installment,7,2025-07,3,0,0.0,2206.3333333333335,6619.0,617.0
app,installment,7,2025-08,7,0,0.0,3533.4285714285716,24734.0,617.7142857142857
app,installment,7,2025-09,1,0,0.0,2640.0,2640.0,621.0
app,installment,8,2024-02,4,0,0.0,3053.75,12215.0,626.5
app,installment,8,2024-03,4,0,0.0,2052.5,8210.0,626.75
app,installment,8,2024-04,1,0,0.0,4076.0,4076.0,630.0
app,installment,8,2024-05,7,0,0.0,2417.4285714285716,16922.0,628.7142857142857
app,installment,8,2024-06,9,0,0.0,1960.7777777777778,17647.0,625.1111111111111
app,installment,8,2024-07,6,0,0.0,3236.0,19416.0,626.6666666666666
app,installment,8,2024-08,2,0,0.0,1144.0,2288.0,627.5
app,installment,8,2024-09,4,0,0.0,3384.75,13539.0,626.5
app,installment,8,2024-10,1,0,0.0,3142.0,3142.0,626.0
app,installment,8,2024-11,1,0,0.0,859.0,859.0,628.0
app,installment,8,2024-12,6,0,0.0,2392.3333333333335,14354.0,626.5
app,installment,8,2025-01,4,0,0.0,2748.25,10993.0,625.25
app,installment,8,2025-02,4,0,0.0,3996.5,15986.0,626.75
app,installment,8,2025-03,5,0,0.0,2545.8,12729.0,625.6
app,installment,8,2025-04,6,0,0.0,2865.3333333333335,17192.0,626.0
app,installment,8,2025-05,4,0,0.0,2073.75,8295.0,627.0
app,installment,8,2025-06,9,0,0.0,2976.8888888888887,26792.0,625.1111111111111
app,installment,8,2025-07,4,0,0.0,2788.0,11152.0,626.0
app,installment,8,2025-08,6,0,0.0,3694.8333333333335,22169.0,625.0
app,installment,8,2025-09,6,0,0.0,2343.3333333333335,14060.0,626.0
app,installment,9,2024-02,3,0,0.0,3796.0,11388.0,637.0
app,installment,9,2024-03,9,0,0.0,2639.0,23751.0,637.7777777777778
app,installment,9,2024-04,7,0,0.0,2894.285714285714,20260.0,639.8571428571429
app,installment,9,2024-05,9,0,0.0,3261.3333333333335,29352.0,636.2222222222222
app,installment,9,2024-06,5,0,0.0,3202.0,16010.0,638.0
app,installment,9,2024-07,3,0,0.0,4088.3333333333335,12265.0,635.3333333333334
app,installment,9,2024-08,3,0,0.0,1060.6666666666667,3182.0,639.6666666666666
app,installment,9,2024-09,5,0,0.0,2933.4,14667.0,636.8
app,installment,9,2024-10,8,0,0.0,1785.125,14281.0,634.75
app,installment,9,2024-11,5,0,0.0,1954.4,9772.0,635.4
app,installment,9,2024-12,6,0,0.0,2679.3333333333335,16076.0,638.1666666666666
app,installment,9,2025-01,9,0,0.0,2495.777777777778,22462.0,639.8888888888889
app,installment,9,2025-02,5,0,0.0,2973.6,14868.0,637.6
app,installment,9,2025-03,10,0,0.0,2961.7,29617.0,636.6
app,installment,9,2025-04,4,0,0.0,2189.75,8759.0,636.5
app,installment,9,2025-05,7,0,0.0,1906.2857142857142,13344.0,637.2857142857143
app,installment,9,2025-06,4,0,0.0,3956.75,15827.0,638.75
app,installment,9,2025-07,5,0,0.0,3684.2,18421.0,639.0
app,installment,9,2025-09,4,0,0.0,1591.75,6367.0,636.0
app,installment,10,2024-01,3,0,0.0,2080.3333333333335,6241.0,670.3333333333334
app,installment,10,2024-02,4,0,0.0,3023.75,12095.0,657.0
app,installment,10,2024-03,4,0,0.0,3250.75,13003.0,664.25
app,installment,10,2024-04,3,0,0.0,2551.6666666666665,7655.0,655.3333333333334
app,installment,10,2024-05,5,0,0.0,2941.8,14709.0,655.0
app,installment,10,2024-06,6,0,0.0,3639.3333333333335,21836.0,652.6666666666666
app,installment,10,2024-07,4,0,0.0,2923.25,11693.0,658.75
app,installment,10,2024-08,5,0,0.0,2624.6,13123.0,655.2
app,installment,10,2024-09,5,0,0.0,2899.0,14495.0,669.2
app,installment,10,2024-10,4,0,0.0,2282.5,9130.0,671.5
app,installment,10,2024-11,2,0,0.0,3607.5,7215.0,667.5
app,installment,10,2024-12,5,0,0.0,2984.0,14920.0,658.2
app,installment,10,2025-01,4,0,0.0,3386.75,13547.0,657.5
app,installment,10,2025-02,5,0,0.0,2217.6,11088.0,672.2
app,installment,10,2025-03,5,0,0.0,3083.6,15418.0,648.2
app,installment,10,2025-04,4,0,0.0,3309.0,13236.0,675.5
app,installment,10,2025-05,3,0,0.0,980.3333333333334,2941.0,666.3333333333334
app,installment,10,2025-06,5,0,0.0,2910.4,14552.0,655.4
app,installment,10,2025-07,2,0,0.0,2463.0,4926.0,651.5
app,installment,10,2025-08,7,0,0.0,2726.1428571428573,19083.0,662.0
app,installment,10,2025-09,3,0,0.0,4016.6666666666665,12050.0,660.3333333333334
app,short_term,1,2024-01,1,0,0.0,1738.0,1738.0,560.0
app,short_term,1,2024-02,5,2,0.4,2184.6,10923.0,543.2
app,short_term,1,2024-03,4,0,0.0,2747.5,10990.0,546.0
app,short_term,1,2024-04,6,0,0.0,1942.5,11655.0,535.8333333333334
app,short_term,1,2024-05,6,1,0.16666666666666666,2921.0,17526.0,551.6666666666666
app,short_term,1,2024-06,8,0,0.0,3130.875,25047.0,551.5
app,short_term,1,2024-07,9,1,0.1111111111111111,2735.8888888888887,24623.0,544.1111111111111
app,short_term,1,2024-08,2,0,0.0,2515.0,5030.0,525.5
app,short_term,1,2024-09,4,2,0.5,2716.25,10865.0,530.75
app,short_term,1,2024-10,4,0,0.0,1940.5,7762.0,516.5
app,short_term,1,2024-11,6,0,0.0,3061.6666666666665,18370.0,548.6666666666666
app,short_term,1,2024-12,7,0,0.0,2676.5714285714284,18736.0,545.5714285714286
app,short_term,1,2025-01,7,1,0.14285714285714285,3591.1428571428573,25138.0,555.2857142857143
app,short_term,1,2025-02,4,0,0.0,2184.75,8739.0,551.0
app,short_term,1,2025-03,3,0,0.0,1768.0,5304.0,549.0
app,short_term,1,2025-04,8,2,0.25,2185.625,17485.0,518.375
app,short_term,1,2025-05,6,1,0.16666666666666666,1992.8333333333333,11957.0,545.5
app,short_term,1,2025-06,1,0,0.0,3040.0,3040.0,515.0
app,short_term,1,2025-07,8,2,0.25,2343.375,18747.0,532.5
app,short_term,1,2025-08,11,1,0.09090909090909091,2216.181818181818,24378.0,539.5454545454545
app,short_term,1,2025-09,5,0,0.0,2695.6,13478.0,548.6
app,short_term,2,2024-01,1,0,0.0,1927.0,1927.0,573.0
app,short_term,2,2024-02,4,1,0.25,2894.0,11576.0,568.5
app,short_term,2,2024-03,6,1,0.16666666666666666,3088.0,18528.0,571.0
app,short_term,2,2024-04,9,0,0.0,2821.0,25389.0,572.8888888888889
app,short_term,2,2024-05,6,0,0.0,1909.5,11457.0,569.8333333333334
app,short_term,2,2024-06,9,0,0.0,2801.1111111111113,25210.0,571.2222222222222
app,short_term,2,2024-07,3,0,0.0,3072.0,9216.0,571.0
app,short_term,2,2024-08,8,0,0.0,2581.0,20648.0,568.75
app,short_term,2,2024-09,2,0,0.0,2191.5,4383.0,566.5
app,short_term,2,2024-10,8,1,0.125,3330.0,26640.0,570.125
app,short_term,2,2024-11,5,0,0.0,3472.4,17362.0,569.2
app,short_term,2,2024-12,6,1,0.16666666666666666,2733.3333333333335,16400.0,569.1666666666666
app,short_term,2,2025-01,8,0,0.0,3318.25,26546.0,568.375
app,short_term,2,2025-02,6,0,0.0,2953.5,17721.0,570.1666666666666
app,short_term,2,2025-03,8,0,0.0,2204.5,17636.0,567.625
app,short_term,2,2025-04,5,1,0.2,2156.4,10782.0,566.8
app,short_term,2,2025-05,4,0,0.0,1982.5,7930.0,567.75
app,short_term,2,2025-06,4,0,0.0,3121.75,12487.0,566.5
app,short_term,2,2025-07,5,0,0.0,1687.8,8439.0,573.2
app,short_term,2,2025-08,4,0,0.0,2021.5,8086.0,572.25
app,short_term,2,2025-09,4,0,0.0,2104.0,8416.0,569.25
app,short_term,3,2024-01,4,0,0.0,2339.75,9359.0,586.75
app,short_term,3,2024-02,5,0,0.0,3083.8,15419.0,584.4
app,short_term,3,2024-03,11,0,0.0,2369.818181818182,26068.0,584.0909090909091
app,short_term,3,2024-04,7,0,0.0,3144.5714285714284,22012.0,586.0
app,short_term,3,2024-05,11,0,0.0,2892.818181818182,31821.0,584.8181818181819
app,short_term,3,2024-06,6,0,0.0,2030.3333333333333,12182.0,585.8333333333334
app,short_term,3,2024-07,5,0,0.0,1738.2,8691.0,585.2
app,short_term,3,2024-08,10,0,0.0,3205.7,32057.0,583.1
app,short_term,3,2024-09,10,0,0.0,2664.7,26647.0,583.9
app,short_term,3,2024-10,6,1,0.16666666666666666,3033.5,18201.0,584.5
app,short_term,3,2024-11,8,0,0.0,3302.375,26419.0,585.75
app,short_term,3,2024-12,6,0,0.0,2990.3333333333335,17942.0,584.0
app,short_term,3,2025-01,4,0,0.0,3158.0,12632.0,586.0
app,short_term,3,2025-02,7,0,0.0,2219.8571428571427,15539.0,585.0
app,short_term,3,2025-03,6,0,0.0,3292.0,19752.0,583.6666666666666
app,short_term,3,2025-04,5,0,0.0,2103.6,10518.0,583.4
app,short_term,3,2025-05,4,0,0.0,2649.75,10599.0,585.0
app,short_term,3,2025-06,9,0,0.0,2627.1111111111113,23644.0,583.4444444444445
app,short_term,3,2025-07,6,0,0.0,3559.6666666666665,21358.0,586.6666666666666
app,short_term,3,2025-08,7,0,0.0,3073.8571428571427,21517.0,586.0
app,short_term,3,2025-09,3,0,0.0,2400.0,7200.0,586.0
app,short_term,4,2024-01,1,0,0.0,1747.0,1747.0,596.0
app,short_term,4,2024-02,3,0,0.0,3306.3333333333335,9919.0,593.6666666666666
app,short_term,4,2024-03,5,0,0.0,2043.0,10215.0,594.2
app,short_term,4,2024-04,3,0,0.0,1238.0,3714.0,595.0
app,short_term,4,2024-05,2,0,0.0,4287.0,8574.0,593.0
app,short_term,4,2024-06,3,0,0.0,2668.0,8004.0,594.3333333333334
app,short_term,4,2024-07,1,0,0.0,3715.0,3715.0,593.0
app,short_term,4,2024-08,3,0,0.0,3289.6666666666665,9869.0,592.3333333333334
app,short_term,4,2024-09,4,0,0.0,2093.5,8374.0,596.0
app,short_term,4,2024-10,5,0,0.0,2165.6,10828.0,594.4
app,short_term,4,2024-11,4,0,0.0,3253.5,13014.0,594.75
app,short_term,4,2024-12,4,0,0.0,2309.5,9238.0,592.75
app,short_term,4,2025-01,1,0,0.0,3290.0,3290.0,594.0
app,short_term,4,2025-02,8,0,0.0,2747.5,21980.0,593.375
app,short_term,4,2025-03,7,0,0.0,2925.285714285714,20477.0,592.5714285714286
app,short_term,4,2025-04,5,0,0.0,2108.6,10543.0,592.6
app,short_term,4,2025-05,5,0,0.0,2645.6,13228.0,592.8
app,short_term,4,2025-06,7,0,0.0,2803.714285714286,19626.0,593.0
app,short_term,4,2025-07,5,0,0.0,2029.0,10145.0,592.6
app,short_term,4,2025-08,5,0,0.0,2814.6,14073.0,592.2
app,short_term,4,2025-09,4,0,0.0,2538.0,10152.0,594.0
app,short_term,5,2024-02,5,0,0.0,1521.0,7605.0,601.4
app,short_term,5,2024-03,3,0,0.0,3412.6666666666665,10238.0,603.0
app,short_term,5,2024-04,7,0,0.0,2205.4285714285716,15438.0,602.2857142857143
app,short_term,5,2024-05,8,0,0.0,2797.5,22380.0,601.875
app,short_term,5,2024-06,8,0,0.0,3233.375,25867.0,601.125
app,short_term,5,2024-07,5,0,0.0,3153.4,15767.0,601.2
app,short_term,5,2024-08,4,0,0.0,3172.5,12690.0,602.0
app,short_term,5,2024-09,6,0,0.0,2420.3333333333335,14522.0,601.6666666666666
app,short_term,5,2024-10,4,0,0.0,2270.75,9083.0,601.5
app,short_term,5,2024-11,6,0,0.0,2355.3333333333335,14132.0,602.3333333333334
app,short_term,5,2024-12,4,0,0.0,2127.75,8511.0,602.5
app,short_term,5,2025-01,8,0,0.0,2645.375,21163.0,602.125
app,short_term,5,2025-02,5,0,0.0,2101.0,10505.0,602.0
app,short_term,5,2025-03,6,0,0.0,2313.3333333333335,13880.0,602.0
app,short_term,5,2025-04,4,0,0.0,1373.0,5492.0,603.0
app,short_term,5,2025-05,8,0,0.0,2931.5,23452.0,602.25
app,short_term,5,2025-06,4,0,0.0,3538.75,14155.0,601.75
app,short_term,5,2025-07,7,0,0.0,2880.4285714285716,20163.0,602.4285714285714
app,short_term,5,2025-08,3,0,0.0,2881.6666666666665,8645.0,602.6666666666666
app,short_term,5,2025-09,6,0,0.0,2818.1666666666665,16909.0,601.5
app,short_term,6,2024-01,1,0,0.0,3000.0,3000.0,606.0
app,short_term,6,2024-02,6,0,0.0,2747.1666666666665,16483.0,608.8333333333334
app,short_term,6,2024-03,5,0,0.0,2400.8,12004.0,610.0
app,short_term,6,2024-04,11,0,0.0,2715.0,29865.0,609.2727272727273
app,short_term,6,2024-05,5,0,0.0,2420.6,12103.0,608.8
app,short_term,6,2024-06,5,0,0.0,2731.6,13658.0,609.2
app,short_term,6,2024-07,5,0,0.0,2914.4,14572.0,610.2
app,short_term,6,2024-08,3,0,0.0,1806.0,5418.0,608.0
app,short_term,6,2024-09,5,1,0.2,2907.2,14536.0,608.0
app,short_term,6,2024-10,4,0,0.0,2983.0,11932.0,610.0
app,short_term,6,2024-11,1,0,0.0,2319.0,2319.0,612.0
app,short_term,6,2024-12,4,0,0.0,2995.75,11983.0,608.75
app,short_term,6,2025-01,5,0,0.0,2823.0,14115.0,609.2
app,short_term,6,2025-02,8,0,0.0,3117.75,24942.0,609.125
app,short_term,6,2025-04,12,1,0.08333333333333333,2548.0,30576.0,608.25
app,short_term,6,2025-05,6,1,0.16666666666666666,2624.1666666666665,15745.0,610.3333333333334
app,short_term,6,2025-06,5,0,0.0,1892.6,9463.0,609.6
app,short_term,6,2025-07,6,0,0.0,3003.3333333333335,18020.0,610.5
app,short_term,6,2025-08,1,0,0.0,1385.0,1385.0,609.0
app,short_term,6,2025-09,8,0,0.0,3051.5,24412.0,609.25
app,short_term,7,2024-01,2,0,0.0,1923.0,3846.0,618.5
app,short_term,7,2024-02,2,0,0.0,2609.0,5218.0,617.0
app,short_term,7,2024-03,5,0,0.0,3944.6,19723.0,617.4
app,short_term,7,2024-04,9,0,0.0,2837.6666666666665,25539.0,618.4444444444445
app,short_term,7,2024-05,7,0,0.0,2232.8571428571427,15630.0,618.8571428571429
app,short_term,7,2024-06,11,0,0.0,2733.818181818182,30072.0,616.5454545454545
app,short_term,7,2024-07,6,0,0.0,2042.6666666666667,12256.0,618.1666666666666
app,short_term,7,2024-08,6,0,0.0,3949.0,23694.0,617.5
app,short_term,7,2024-09,8,0,0.0,2392.5,19140.0,619.125
app,short_term,7,2024-10,5,0,0.0,2516.2,12581.0,618.0
app,short_term,7,2024-11,8,0,0.0,2763.375,22107.0,618.375
app,short_term,7,2024-12,7,0,0.0,2578.8571428571427,18052.0,616.1428571428571
app,short_term,7,2025-01,6,0,0.0,2749.3333333333335,16496.0,616.5
app,short_term,7,2025-02,6,0,0.0,2486.8333333333335,14921.0,616.8333333333334
app,short_term,7,2025-03,6,0,0.0,2637.5,15825.0,618.0
app,short_term,7,2025-04,6,0,0.0,3273.6666666666665,19642.0,618.0
app,short_term,7,2025-05,5,0,0.0,3579.8,17899.0,616.4
app,short_term,7,2025-06,8,0,0.0,3448.25,27586.0,617.625
app,short_term,7,2025-07,4,0,0.0,2570.25,10281.0,619.5
app,short_term,7,2025-08,7,0,0.0,2177.285714285714,15241.0,617.1428571428571
app,short_term,7,2025-09,2,0,0.0,1267.0,2534.0,617.0
app,short_term,8,2024-01,2,0,0.0,3890.5,7781.0,626.0
app,short_term,8,2024-02,5,0,0.0,2035.2,10176.0,626.4
app,short_term,8,2024-03,4,0,0.0,3646.5,14586.0,624.0
app,short_term,8,2024-04,5,0,0.0,1387.8,6939.0,625.2
app,short_term,8,2024-05,7,0,0.0,1401.4285714285713,9810.0,625.7142857142857
app,short_term,8,2024-06,4,0,0.0,2207.5,8830.0,625.5
app,short_term,8,2024-07,6,0,0.0,2330.1666666666665,13981.0,626.8333333333334
app,short_term,8,2024-08,8,0,0.0,2173.625,17389.0,627.0
app,short_term,8,2024-09,9,0,0.0,3088.0,27792.0,625.7777777777778
app,short_term,8,2024-10,5,0,0.0,3014.6,15073.0,625.0
app,short_term,8,2024-11,8,0,0.0,3045.0,24360.0,625.5
app,short_term,8,2024-12,7,0,0.0,2184.0,15288.0,625.1428571428571
app,short_term,8,2025-01,3,1,0.3333333333333333,2807.3333333333335,8422.0,625.6666666666666
app,short_term,8,2025-02,2,0,0.0,2482.5,4965.0,627.5
app,short_term,8,2025-03,7,0,0.0,2060.285714285714,14422.0,626.5714285714286
app,short_term,8,2025-04,2,0,0.0,4782.0,9564.0,627.0
app,short_term,8,2025-05,6,0,0.0,2185.0,13110.0,626.8333333333334
app,short_term,8,2025-06,7,0,0.0,1769.142857142857,12384.0,626.7142857142857
app,short_term,8,2025-07,5,1,0.2,2773.4,13867.0,626.8
app,short_term,8,2025-08,6,1,0.16666666666666666,3068.0,18408.0,627.0
app,short_term,8,2025-09,2,1,0.5,4431.0,8862.0,624.5
app,short_term,9,2024-02,2,0,0.0,1100.5,2201.0,641.5
app,short_term,9,2024-03,8,0,0.0,3435.0,27480.0,636.5
app,short_term,9,2024-04,6,0,0.0,2808.8333333333335,16853.0,641.1666666666666
app,short_term,9,2024-05,9,0,0.0,1621.5555555555557,14594.0,637.8888888888889
app,short_term,9,2024-06,5,0,0.0,2822.0,14110.0,639.0
