loan_id,app_id,user_id,disburse_dt,principal,term_days,apr,first_due_dt
31,63,3536,2025-02-05 23:46:13,1242,180,0.23,2025-03-29 23:46:13
32,64,1113,2025-04-06 13:13:58,3298,90,0.18,2025-05-05 13:13:58
33,68,1135,2025-08-11 18:41:25,2297,120,0.268,2025-09-17 18:41:25
34,70,3037,2025-08-20 18:27:14,3419,120,0.239,2025-09-26 18:27:14
35,72,3064,2024-08-16 04:48:16,2696,7,0.26,2024-08-24 04:48:16
36,76,3910,2025-09-03 07:31:25,4862,60,0.263,2025-09-25 07:31:25
37,77,1613,2025-12-25 14:33:05,1528,14,0.288,2026-01-04 14:33:05
38,78,3238,2024-12-15 19:36:40,613,30,0.284,2024-12-29 19:36:40
39,84,4243,2025-07-15 10:10:46,512,30,0.199,2025-07-29 10:10:46
40,86,997,2024-05-23 14:22:48,1851,21,0.24,2024-06-04 14:22:48
41,89,991,2024-03-02 15:44:47,2806,60,0.213,2024-03-24 15:44:47
42,94,3628,2024-05-12 08:23:21,1966,120,0.341,2024-06-18 08:23:21
43,96,898,2024-09-28 07:24:13,4312,60,0.237,2024-10-20 07:24:13
44,97,2302,2024-02-18 07:38:32,2059,180,0.279,2024-04-10 07:38:32
45,101,818,2024-08-27 05:00:21,2760,14,0.193,2024-09-06 05:00:21
46,104,1834,2024-03-23 21:28:05,3851,14,0.139,2024-04-02 21:28:05
47,105,3762,2024-12-25 17:49:22,2319,21,0.226,2025-01-06 17:49:22
48,112,140,2025-08-21 06:44:49,3686,120,0.182,2025-09-27 06:44:49
49,113,2586,2025-10-24 00:34:31,4784,21,0.193,2025-11-05 00:34:31
50,115,1894,2024-09-20 19:07:58,4148,120,0.246,2024-10-27 19:07:58
51,116,4490,2024-09-12 15:38:06,3929,21,0.3,2024-09-24 15:38:06
52,117,1838,2024-07-30 00:34:08,855,14,0.228,2024-08-09 00:34:08
53,124,4146,2024-02-13 04:24:42,2233,180,0.295,2024-04-05 04:24:42
54,125,4567,2025-09-19 15:52:14,2587,30,0.23,2025-10-03 15:52:14
55,127,3342,2025-01-11 02:12:55,3224,21,0.157,2025-01-23 02:12:55
56,128,1299,2025-04-27 12:10:35,1003,14,0.208,2025-05-07 12:10:35
57,129,4714,2024-09-07 23:08:45,3003,60,0.333,2024-09-29 23:08:45
58,131,4348,2025-08-12 12:54:04,2250,21,0.247,2025-08-24 12:54:04
59,132,870,2025-01-26 05:49:25,1387,180,0.161,2025-03-19 05:49:25
60,133,2142,2025-07-07 04:44:34,4978,180,0.16,2025-08-28 04:44:34
61,134,4879,2025-06-11 22:46:02,4551,21,0.239,2025-06-23 22:46:02
62,135,2604,2024-06-04 00:43:02,4375,21,0.2,2024-06-16 00:43:02
63,136,3097,2025-09-29 21:22:15,3407,7,0.298,2025-10-07 21:22:15
64,137,1787,2025-10-20 22:22:27,967,90,0.198,2025-11-18 22:22:27
65,138,2811,2025-08-21 02:27:08,2876,30,0.319,2025-09-04 02:27:08
66,140,293,2025-04-17 09:03:51,3010,14,0.244,2025-04-27 09:03:51
67,141,524,2025-07-11 12:20:05,719,60,0.234,2025-08-02 12:20:05
68,143,4822,2025-11-05 11:13:30,1898,60,0.194,2025-11-27 11:13:30
69,145,4565,2025-10-14 20:07:11,1054,14,0.259,2025-10-24 20:07:11
70,148,2871,2025-08-08 06:14:33,1147,7,0.28,2025-08-16 06:14:33
71,154,437,2025-01-22 01:45:01,4374,30,0.225,2025-02-05 01:45:01
72,155,4805,2025-08-08 19:49:09,1231,21,0.218,2025-08-20 19:49:09
73,156,2401,2024-12-10 11:11:20,2828,14,0.296,2024-12-20 11:11:20
74,157,3398,2024-04-24 19:34:53,3660,14,0.27,2024-05-04 19:34:53
75,159,754,2024-11-02 07:45:10,859,60,0.36,2024-11-24 07:45:10
76,160,3949,2024-06-25 11:23:44,2935,21,0.245,2024-07-07 11:23:44
77,161,2045,2025-11-27 06:21:07,1768,21,0.25,2025-12-09 06:21:07
78,164,4823,2025-11-25 08:21:52,2368,21,0.185,2025-12-07 08:21:52
79,166,949,2024-03-27 21:59:05,3508,30,0.199,2024-04-10 21:59:05
80,168,4204,2024-05-30 22:06:09,864,30,0.287,2024-06-13 22:06:09
81,169,4265,2025-04-14 13:01:14,4971,60,0.178,2025-05-06 13:01:14
82,174,3608,2024-05-02 13:39:26,4446,180,0.289,2024-06-23 13:39:26
83,175,4630,2025-02-28 05:01:45,588,60,0.231,2025-03-22 05:01:45
84,176,2023,2025-05-18 08:38:21,1171,90,0.343,2025-06-16 08:38:21
85,179,2979,2025-02-10 21:09:47,805,60,0.279,2025-03-04 21:09:47
86,180,1676,2024-12-29 08:25:07,3036,180,0.181,2025-02-19 08:25:07
87,183,3742,2025-12-13 23:13:35,3219,21,0.182,2025-12-25 23:13:35
88,187,4820,2025-01-15 11:11:31,4570,30,0.172,2025-01-29 11:11:31
89,188,4436,2024-06-30 13:16:17,2768,180,0.322,2024-08-21 13:16:17
90,191,1523,2024-07-12 00:18:11,3838,30,0.254,2024-07-26 00:18:11
91,194,2450,2025-07-08 02:36:10,2101,7,0.24,2025-07-16 02:36:10
92,198,4270,2024-07-14 07:32:55,4426,30,0.266,2024-07-28 07:32:55
93,201,3777,2025-09-06 04:16:26,993,21,0.175,2025-09-18 04:16:26
94,202,559,2024-09-25 16:59:08,707,30,0.234,2024-10-09 16:59:08
95,204,1836,2025-06-04 03:36:42,1514,30,0.24,2025-06-18 03:36:42
96,206,2845,2024-09-03 10:03:56,2528,90,0.349,2024-10-02 10:03:56
97,208,2582,2024-02-28 06:14:43,2954,60,0.252,2024-03-21 06:14:43
98,209,564,2025-12-02 15:52:15,2236,30,0.3,2025-12-16 15:52:15
99,210,4087,2024-07-28 06:57:22,3615,60,0.28,2024-08-19 06:57:22
100,211,3569,2024-03-25 15:10:51,739,30,0.257,2024-04-08 15:10:51
101,215,1436,2025-12-18 02:14:40,3180,14,0.148,2025-12-28 02:14:40
102,216,4839,2024-04-19 20:06:23,2226,21,0.264,2024-05-01 20:06:23
103,217,2949,2024-07-21 18:14:16,3128,30,0.198,2024-08-04 18:14:16
104,218,2288,2024-08-14 14:41:41,3348,60,0.194,2024-09-05 14:41:41
105,221,407,2024-09-05 01:01:46,4319,120,0.191,2024-10-12 01:01:46
106,222,874,2025-06-15 13:19:11,851,21,0.265,2025-06-27 13:19:11
107,223,1063,2025-02-13 08:57:50,1127,60,0.226,2025-03-07 08:57:50
108,228,3750,2024-03-06 21:03:55,1425,30,0.262,2024-03-20 21:03:55
109,231,2980,2024-06-12 23:01:01,3135,60,0.191,2024-07-04 23:01:01
110,233,4294,2024-07-25 19:19:28,3989,21,0.216,2024-08-06 19:19:28
111,239,1508,2025-05-07 23:48:54,3021,21,0.253,2025-05-19 23:48:54
112,241,4289,2024-06-25 17:40:13,4067,60,0.165,2024-07-17 17:40:13
113,242,467,2025-04-17 22:26:35,3060,7,0.25,2025-04-25 22:26:35
114,243,4046,2025-02-18 04:09:49,782,21,0.226,2025-03-02 04:09:49
115,244,672,2024-08-02 05:45:31,4484,14,0.264,2024-08-12 05:45:31
116,245,4163,2024-02-03 03:38:33,3314,60,0.212,2024-02-25 03:38:33
117,248,3294,2024-12-12 22:01:12,2435,14,0.28,2024-12-22 22:01:12
118,249,830,2025-11-18 11:16:44,919,14,0.228,2025-11-28 11:16:44
119,250,3062,2025-07-28 09:21:13,3870,120,0.19,2025-09-03 09:21:13
120,251,258,2024-10-11 01:03:45,1783,7,0.253,2024-10-19 01:03:45
121,253,1830,2024-08-29 22:28:12,4176,30,0.253,2024-09-12 22:28:12
122,254,3441,2024-11-27 01:50:19,1252,30,0.239,2024-12-11 01:50:19
123,255,944,2024-07-18 21:32:50,2815,7,0.268,2024-07-26 21:32:50
124,256,2749,2024-12-29 07:14:21,2269,14,0.303,2025-01-08 07:14:21
125,257,1921,2024-09-24 11:48:27,2337,180,0.247,2024-11-15 11:48:27
126,259,2318,2025-10-12 14:01:25,2499,120,0.282,2025-11-18 14:01:25
127,265,1231,2024-05-08 13:42:50,3004,30,0.283,2024-05-22 13:42:50
128,266,3673,2024-06-02 03:32:23,3440,90,0.186,2024-07-01 03:32:23
129,267,57,2025-12-12 03:08:34,1979,14,0.168,2025-12-22 03:08:34
130,269,1071,2024-07-14 00:45:48,3902,90,0.188,2024-08-12 00:45:48
131,270,3811,2024-12-20 21:58:47,4194,120,0.266,2025-01-26 21:58:47
132,274,2545,2025-02-18 12:44:43,4861,120,0.296,2025-03-27 12:44:43
133,275,382,2024-04-20 18:54:45,2974,7,0.342,2024-04-28 18:54:45
134,280,1220,2024-05-21 03:13:17,2592,90,0.225,2024-06-19 03:13:17
135,284,4840,2024-04-01 10:34:20,763,120,0.248,2024-05-08 10:34:20
136,288,836,2025-10-24 00:43:42,4210,30,0.188,2025-11-07 00:43:42
137,292,1665,2025-09-12 21:13:15,1968,7,0.198,2025-09-20 21:13:15
138,294,4520,2024-12-01 00:56:02,3415,7,0.303,2024-12-09 00:56:02
139,298,2094,2024-10-25 13:15:10,2532,30,0.264,2024-11-08 13:15:10
140,299,3075,2024-09-03 13:21:31,1444,120,0.211,2024-10-10 13:21:31
141,305,2977,2024-10-22 20:29:55,2450,30,0.263,2024-11-05 20:29:55
142,306,1068,2025-08-20 08:20:52,3078,14,0.276,2025-08-30 08:20:52
143,307,3743,2025-01-17 21:39:21,3960,14,0.261,2025-01-27 21:39:21
144,310,777,2025-02-16 14:44:49,3744,14,0.209,2025-02-26 14:44:49
145,317,4431,2024-02-12 16:16:52,2316,180,0.295,2024-04-04 16:16:52
146,318,4141,2024-10-02 21:27:27,2018,21,0.203,2024-10-14 21:27:27
147,321,1873,2025-01-21 12:00:51,3204,7,0.277,2025-01-29 12:00:51
148,322,3799,2025-04-21 18:09:27,4673,90,0.3,2025-05-20 18:09:27
149,325,2349,2024-10-14 03:00:34,1975,60,0.295,2024-11-05 03:00:34
150,326,1809,2024-06-25 17:09:07,3212,14,0.239,2024-07-05 17:09:07
151,327,1473,2025-09-10 05:16:20,3174,21,0.281,2025-09-22 05:16:20
152,328,3823,2025-01-22 12:09:56,4798,30,0.231,2025-02-05 12:09:56
153,332,58,2025-09-11 19:20:54,3006,180,0.216,2025-11-02 19:20:54
154,333,1665,2025-01-21 21:02:10,4397,21,0.173,2025-02-02 21:02:10
155,334,1212,2025-07-19 22:00:07,2774,14,0.102,2025-07-29 22:00:07
156,342,3890,2025-10-07 06:02:23,3825,30,0.152,2025-10-21 06:02:23
157,346,64,2024-08-04 15:37:33,4106,7,0.289,2024-08-12 15:37:33
158,347,4890,2024-03-31 22:10:26,2172,60,0.254,2024-04-22 22:10:26
159,348,4357,2024-09-16 16:40:11,1825,30,0.28,2024-09-30 16:40:11
160,350,4702,2025-03-16 07:23:16,1091,180,0.207,2025-05-07 07:23:16
161,351,1171,2024-03-08 03:43:28,1099,90,0.249,2024-04-06 03:43:28
162,352,4602,2025-07-15 15:40:18,788,90,0.284,2025-08-13 15:40:18
163,353,3728,2024-11-07 05:21:15,1519,7,0.264,2024-11-15 05:21:15
164,355,2945,2024-10-30 22:21:07,1017,7,0.208,2024-11-07 22:21:07
165,356,4338,2024-11-28 10:21:12,2436,21,0.151,2024-12-10 10:21:12
166,358,355,2024-10-03 17:24:07,2085,180,0.218,2024-11-24 17:24:07
167,359,2568,2024-10-01 05:39:08,2279,21,0.195,2024-10-13 05:39:08
168,366,1926,2024-07-19 00:39:30,775,60,0.231,2024-08-10 00:39:30
169,368,3326,2024-03-10 07:28:51,3520,180,0.147,2024-05-01 07:28:51
170,369,3238,2025-07-11 10:11:59,4953,21,0.191,2025-07-23 10:11:59
171,372,4298,2024-02-01 06:42:10,1396,120,0.292,2024-03-09 06:42:10
172,378,3532,2024-09-06 04:01:16,3215,180,0.258,2024-10-28 04:01:16
173,379,3016,2024-02-19 10:33:31,2648,120,0.232,2024-03-27 10:33:31
174,384,1539,2024-02-19 22:18:13,3188,21,0.286,2024-03-02 22:18:13
175,385,3365,2025-03-08 23:48:29,2806,90,0.233,2025-04-06 23:48:29
176,387,4420,2025-12-22 11:22:43,2584,90,0.214,2026-01-20 11:22:43
177,389,1070,2025-08-29 03:55:05,4286,30,0.267,2025-09-12 03:55:05
178,392,4766,2024-09-09 14:40:50,2080,30,0.222,2024-09-23 14:40:50
179,396,2922,2025-03-06 08:13:25,1944,14,0.237,2025-03-16 08:13:25
180,397,4510,2024-03-21 18:56:20,4616,120,0.254,2024-04-27 18:56:20
181,398,4334,2025-01-23 18:23:26,1078,21,0.301,2025-02-04 18:23:26
182,400,1285,2024-08-07 05:19:30,4816,30,0.154,2024-08-21 05:19:30
183,404,3652,2025-09-12 16:15:22,1702,60,0.178,2025-10-04 16:15:22
184,410,1598,2024-11-20 23:13:58,1065,7,0.131,2024-11-28 23:13:58
185,411,2911,2024-11-20 02:13:34,3979,180,0.238,2025-01-11 02:13:34
186,413,4112,2024-02-15 02:53:22,1339,21,0.265,2024-02-27 02:53:22
187,414,4052,2024-03-02 18:53:29,4559,14,0.26,2024-03-12 18:53:29
188,415,1013,2025-06-19 12:11:11,2749,90,0.284,2025-07-18 12:11:11
189,417,4075,2025-11-02 15:26:29,1048,60,0.302,2025-11-24 15:26:29
190,418,3565,2025-09-03 16:31:26,1095,180,0.306,2025-10-25 16:31:26
191,419,491,2025-06-16 06:58:53,2901,90,0.237,2025-07-15 06:58:53
192,423,4543,2024-11-26 09:53:22,4698,120,0.243,2025-01-02 09:53:22
193,426,685,2024-04-21 19:08:01,3604,90,0.243,2024-05-20 19:08:01
194,430,3890,2025-09-25 16:42:21,4751,90,0.23,2025-10-24 16:42:21
195,431,2452,2025-09-26 14:32:58,2164,14,0.255,2025-10-06 14:32:58
196,432,2284,2025-04-24 17:10:06,3122,60,0.234,2025-05-16 17:10:06
197,433,319,2024-12-17 04:02:17,1454,180,0.205,2025-02-07 04:02:17
198,436,402,2025-05-12 05:59:59,2189,120,0.307,2025-06-18 05:59:59
199,438,1728,2025-04-01 18:55:17,1931,7,0.153,2025-04-09 18:55:17
200,441,1677,2025-04-09 15:56:38,3817,60,0.196,2025-05-01 15:56:38
201,442,4107,2024-11-20 18:12:45,1610,21,0.216,2024-12-02 18:12:45
202,445,2711,2024-10-19 04:29:48,2888,21,0.212,2024-10-31 04:29:48
203,448,4699,2025-12-03 14:51:38,643,21,0.125,2025-12-15 14:51:38
204,452,3124,2025-12-18 00:00:54,4989,7,0.29,2025-12-26 00:00:54
205,453,1229,2025-08-10 08:35:11,2678,90,0.202,2025-09-08 08:35:11
206,454,1616,2024-03-13 08:49:52,616,90,0.288,2024-04-11 08:49:52
207,455,4440,2025-03-29 09:59:56,1591,60,0.196,2025-04-20 09:59:56
208,456,1839,2025-11-02 01:40:08,2037,21,0.286,2025-11-14 01:40:08
209,457,2212,2024-06-13 06:52:18,866,14,0.299,2024-06-23 06:52:18
210,460,874,2025-11-13 04:48:28,4482,14,0.235,2025-11-23 04:48:28
211,462,3396,2025-03-09 15:06:30,2030,120,0.27,2025-04-15 15:06:30
212,464,2056,2024-09-26 18:36:08,4039,14,0.198,2024-10-06 18:36:08
213,467,2751,2025-12-18 10:38:48,677,90,0.117,2026-01-16 10:38:48
214,469,2859,2024-12-22 09:27:31,4826,120,0.202,2025-01-28 09:27:31
215,471,4084,2025-12-04 04:02:05,2208,14,0.252,2025-12-14 04:02:05
216,472,1484,2024-12-20 13:17:51,4765,90,0.296,2025-01-18 13:17:51
217,473,4441,2025-03-31 00:05:12,1821,7,0.301,2025-04-08 00:05:12
218,475,830,2025-11-27 03:18:07,3365,14,0.267,2025-12-07 03:18:07
219,477,4804,2024-06-23 22:26:31,4261,180,0.225,2024-08-14 22:26:31
220,479,4991,2024-12-21 14:28:31,4501,180,0.269,2025-02-11 14:28:31
221,481,3203,2024-11-19 18:13:11,1679,7,0.294,2024-11-27 18:13:11
222,482,1193,2024-03-19 01:53:00,3781,14,0.18,2024-03-29 01:53:00
223,484,3765,2025-08-28 02:28:02,4487,21,0.296,2025-09-09 02:28:02
224,485,262,2025-02-02 06:48:14,3476,7,0.221,2025-02-10 06:48:14
225,486,2639,2025-02-17 14:06:31,751,21,0.252,2025-03-01 14:06:31
226,487,4660,2025-11-05 17:28:03,1996,180,0.218,2025-12-27 17:28:03
227,488,1473,2025-10-18 08:59:44,2984,180,0.176,2025-12-09 08:59:44
228,495,2553,2025-01-16 23:53:47,2998,21,0.311,2025-01-28 23:53:47
229,497,3871,2024-07-11 01:04:02,2588,14,0.298,2024-07-21 01:04:02
230,499,2516,2025-04-04 10:16:00,3752,90,0.263,2025-05-03 10:16:00
231,502,2066,2024-10-30 13:59:20,2731,90,0.281,2024-11-28 13:59:20
232,503,293,2024-03-20 08:01:02,4827,120,0.207,2024-04-26 08:01:02
233,504,3867,2025-08-29 17:04:48,971,30,0.226,2025-09-12 17:04:48
234,506,1255,2024-10-05 23:56:10,4265,21,0.143,2024-10-17 23:56:10
235,508,2219,2024-02-03 10:10:32,3224,90,0.219,2024-03-03 10:10:32
236,509,3821,2025-02-24 14:42:22,3793,90,0.259,2025-03-25 14:42:22
237,516,901,2024-12-25 20:36:34,3139,14,0.217,2025-01-04 20:36:34
238,517,3731,2024-12-20 20:34:25,1635,30,0.293,2025-01-03 20:34:25
239,520,4432,2024-10-25 03:56:09,4705,120,0.323,2024-12-01 03:56:09
240,521,1125,2025-01-07 05:38:50,1255,180,0.227,2025-02-28 05:38:50
241,523,1131,2025-04-02 23:26:02,4659,90,0.241,2025-05-01 23:26:02
242,526,559,2025-08-10 09:17:31,4023,30,0.293,2025-08-24 09:17:31
243,528,3717,2024-08-05 21:20:17,1856,7,0.195,2024-08-13 21:20:17
244,529,1072,2024-07-09 02:31:57,4280,60,0.254,2024-07-31 02:31:57
245,531,808,2024-05-06 08:46:48,3169,60,0.201,2024-05-28 08:46:48
246,532,4998,2024-09-08 15:49:11,1477,120,0.314,2024-10-15 15:49:11
247,534,2761,2024-05-12 13:07:25,802,90,0.254,2024-06-10 13:07:25
248,537,4138,2025-01-23 01:01:13,3045,120,0.281,2025-03-01 01:01:13
249,538,1924,2024-06-20 00:56:13,1860,30,0.2,2024-07-04 00:56:13
250,540,2816,2024-10-31 15:47:50,1962,7,0.129,2024-11-08 15:47:50
251,543,1547,2024-05-08 04:20:12,3747,7,0.238,2024-05-16 04:20:12
252,544,1543,2025-11-23 14:22:51,2382,180,0.186,2026-01-14 14:22:51
253,547,4994,2025-12-17 10:36:54,2495,21,0.232,2025-12-29 10:36:54
254,553,3790,2024-10-16 15:02:27,3664,7,0.299,2024-10-24 15:02:27
255,555,4629,2024-10-22 19:02:13,4206,180,0.344,2024-12-13 19:02:13
256,556,2401,2025-08-08 22:49:54,4750,14,0.254,2025-08-18 22:49:54
257,558,4009,2024-06-19 07:18:04,2881,14,0.163,2024-06-29 07:18:04
258,562,4110,2024-03-02 21:18:05,3361,14,0.242,2024-03-12 21:18:05
259,563,926,2024-10-16 14:33:37,2793,120,0.247,2024-11-22 14:33:37
260,566,4670,2025-07-09 20:41:28,4761,14,0.228,2025-07-19 20:41:28
261,568,4709,2025-05-11 00:25:48,3585,120,0.228,2025-06-17 00:25:48
262,569,3636,2025-05-15 21:18:03,4488,60,0.203,2025-06-06 21:18:03
263,570,1466,2025-09-29 05:10:47,4704,180,0.231,2025-11-20 05:10:47
264,571,2511,2024-06-05 06:00:26,2860,180,0.215,2024-07-27 06:00:26
265,574,4112,2024-07-02 21:46:46,4860,120,0.223,2024-08-08 21:46:46
266,581,42,2025-11-09 15:57:17,875,30,0.184,2025-11-23 15:57:17
267,582,4177,2024-05-31 22:40:39,2808,90,0.218,2024-06-29 22:40:39
268,584,944,2025-03-26 08:01:38,2426,30,0.285,2025-04-09 08:01:38
269,585,4476,2025-02-25 16:01:51,4872,30,0.244,2025-03-11 16:01:51
270,586,4123,2024-04-21 11:02:43,1688,30,0.304,2024-05-05 11:02:43
271,588,4010,2024-04-12 01:13:07,771,21,0.258,2024-04-24 01:13:07
272,590,4672,2024-01-31 20:00:59,2462,180,0.195,2024-03-23 20:00:59
273,593,2920,2024-05-05 11:42:26,3626,180,0.183,2024-06-26 11:42:26
274,595,703,2025-08-20 14:05:40,2388,60,0.237,2025-09-11 14:05:40
275,596,3647,2024-10-19 00:48:38,4317,120,0.172,2024-11-25 00:48:38
276,600,1442,2025-09-25 02:02:13,2766,60,0.222,2025-10-17 02:02:13
277,601,2318,2025-05-15 19:59:49,2927,14,0.262,2025-05-25 19:59:49
278,602,4474,2024-04-03 04:55:13,898,14,0.26,2024-04-13 04:55:13
279,604,988,2025-06-01 17:37:32,1542,14,0.288,2025-06-11 17:37:32
280,605,362,2025-06-02 03:19:29,4263,21,0.225,2025-06-14 03:19:29
281,608,2430,2025-01-02 16:52:19,4166,90,0.292,2025-01-31 16:52:19
282,609,4577,2025-04-04 02:20:46,884,60,0.257,2025-04-26 02:20:46
283,610,481,2024-06-20 07:25:01,2481,30,0.291,2024-07-04 07:25:01
284,611,231,2024-10-02 13:12:41,2848,7,0.231,2024-10-10 13:12:41
285,614,1380,2025-10-12 19:31:05,1338,14,0.247,2025-10-22 19:31:05
286,619,4336,2024-05-21 06:35:02,1392,180,0.228,2024-07-12 06:35:02
287,623,3955,2025-07-16 05:38:04,922,90,0.217,2025-08-14 05:38:04
288,626,3086,2025-06-21 23:28:49,4268,180,0.189,2025-08-12 23:28:49
289,628,3319,2024-01-25 21:33:46,616,21,0.292,2024-02-06 21:33:46
290,630,3359,2024-02-09 23:28:38,2840,90,0.215,2024-03-09 23:28:38
291,632,1676,2024-02-05 08:26:27,2552,60,0.318,2024-02-27 08:26:27
292,634,1340,2024-02-28 15:42:29,2409,30,0.3,2024-03-13 15:42:29
293,635,2282,2025-04-23 06:18:00,1407,120,0.309,2025-05-30 06:18:00
294,636,4598,2024-07-04 10:08:27,3304,90,0.202,2024-08-02 10:08:27
295,644,1321,2025-08-24 08:25:33,2855,21,0.171,2025-09-05 08:25:33
296,646,2707,2025-11-24 17:42:06,1543,180,0.224,2026-01-15 17:42:06
297,652,2037,2024-05-26 22:51:27,1885,120,0.229,2024-07-02 22:51:27
298,656,4756,2024-12-10 22:14:20,2281,14,0.21,2024-12-20 22:14:20
299,664,2879,2024-10-22 11:00:43,3592,14,0.284,2024-11-01 11:00:43
300,666,901,2025-06-25 07:11:34,2924,180,0.223,2025-08-16 07:11:34
301,668,3192,2025-09-03 21:19:25,1860,120,0.281,2025-10-10 21:19:25
302,669,4104,2025-09-11 08:48:15,2583,90,0.187,2025-10-10 08:48:15
303,672,1085,2024-05-01 12:10:18,4073,30,0.314,2024-05-15 12:10:18
304,673,3061,2024-09-09 17:28:43,1311,180,0.261,2024-10-31 17:28:43
305,676,386,2025-02-11 12:02:28,1918,21,0.274,2025-02-23 12:02:28
306,679,2211,2025-12-20 01:17:27,2819,14,0.254,2025-12-30 01:17:27
307,684,4051,2024-11-15 13:46:52,3923,14,0.242,2024-11-25 13:46:52
308,685,2675,2025-04-10 20:52:33,1980,60,0.297,2025-05-02 20:52:33
309,701,538,2024-08-20 05:33:08,2180,60,0.248,2024-09-11 05:33:08
310,702,1177,2024-03-16 06:06:29,1485,60,0.226,2024-04-07 06:06:29
311,704,4076,2025-02-09 06:57:55,4615,30,0.18,2025-02-23 06:57:55
312,709,2459,2025-10-03 06:09:15,4905,7,0.187,2025-10-11 06:09:15
313,714,3948,2024-09-01 00:39:50,4266,21,0.177,2024-09-13 00:39:50
314,718,378,2025-09-26 04:04:28,1909,60,0.314,2025-10-18 04:04:28
315,720,1060,2024-11-17 05:33:09,4962,30,0.245,2024-12-01 05:33:09
316,721,4862,2024-10-04 11:52:20,741,30,0.277,2024-10-18 11:52:20
317,722,4745,2025-09-16 00:56:12,675,90,0.224,2025-10-15 00:56:12
318,728,2409,2024-12-05 20:49:38,3254,120,0.282,2025-01-11 20:49:38
319,729,3777,2025-06-18 05:53:10,3714,7,0.265,2025-06-26 05:53:10
320,731,4096,2024-09-28 08:24:19,3603,21,0.233,2024-10-10 08:24:19
321,732,4750,2024-07-16 21:50:28,4723,14,0.233,2024-07-26 21:50:28
322,735,3785,2025-08-29 09:52:38,2938,14,0.217,2025-09-08 09:52:38
323,742,3084,2025-04-15 22:23:46,4298,7,0.172,2025-04-23 22:23:46
324,743,4640,2025-03-22 04:53:56,3555,14,0.275,2025-04-01 04:53:56
325,744,313,2025-11-03 10:00:32,795,21,0.295,2025-11-15 10:00:32
326,745,2864,2024-09-04 05:13:18,3320,7,0.239,2024-09-12 05:13:18
327,750,3754,2024-04-01 18:09:27,2338,90,0.209,2024-04-30 18:09:27
328,756,3346,2024-09-22 13:02:05,4802,120,0.255,2024-10-29 13:02:05
329,758,2709,2025-11-13 02:05:21,540,180,0.28,2026-01-04 02:05:21
330,761,4599,2024-08-19 05:01:10,1375,7,0.282,2024-08-27 05:01:10
331,762,1946,2025-11-18 08:08:21,3531,120,0.267,2025-12-25 08:08:21
332,763,2787,2025-06-29 12:08:19,508,60,0.176,2025-07-21 12:08:19
333,764,3446,2024-02-18 08:44:32,3458,14,0.294,2024-02-28 08:44:32
