channel,product_type,requested_amount,requested_term,login_7d,login_30d,night_ratio,device_change_90d,app_install_cnt,sms_cnt_7d,age,gender,city_tier,education,marital_status,residence_years,company_type,monthly_income,phone_age_months,contact_count,emergency_contact_count,device_count,has_credit_card,bureau_score,delinq_12m,credit_utilization,open_accounts,inquiry_3m,device_cnt,brand_nunique,emulator_any,emulator_rate,rooted_any,rooted_rate,device_risk_score_mean,device_risk_score_max,ip_risk_level_mean,ip_risk_level_max,geo_consistent_rate,android_share,apply_hour,apply_dayofweek,y_dpd30_ever
app,short_term,3378,30,0,22,0.05,0,78,8,43,F,4,high,married,2,private,5371.0,62,190,3,1,0,660.0,0,0.18,8,0,1,1,0,0.0,0,0.0,46.0,46.0,2.0,2.0,1.0,1.0,14,4,0
app,installment,675,180,5,6,0.23,0,64,20,29,M,2,college,single,9,private,3555.0,109,310,2,3,1,617.0,0,0.13,3,2,3,3,0,0.0,1,0.3333333333333333,45.333333333333336,78.0,1.3333333333333333,2.0,1.0,1.0,15,1,0
app,installment,1005,90,7,24,0.12,0,54,0,22,F,4,middle,single,0,self_employed,5752.0,66,179,1,1,1,577.0,0,0.31,9,0,1,1,0,0.0,0,0.0,41.0,41.0,2.0,2.0,1.0,0.0,15,0,0
partner,short_term,1538,7,6,8,0.3,0,78,36,19,M,5,college,married,0,state,4599.0,49,99,5,1,1,733.0,0,0.33,1,1,1,1,0,0.0,0,0.0,32.0,32.0,1.0,1.0,1.0,1.0,1,2,0
app,short_term,664,21,1,14,0.1,0,68,27,20,M,3,college,single,9,self_employed,7315.0,25,310,2,2,0,618.0,0,0.08,5,1,2,2,0,0.0,0,0.0,21.0,31.0,1.0,1.0,1.0,0.5,18,5,0
app,installment,2069,90,8,9,0.23,0,94,40,51,M,3,college,single,7,self_employed,4650.0,6,228,3,3,0,774.0,0,0.11,6,0,3,3,0,0.0,0,0.0,30.666666666666668,41.0,1.6666666666666667,2.0,1.0,0.3333333333333333,3,4,0
app,short_term,2315,30,9,21,0.21,0,81,42,43,F,1,high,married,0,self_employed,2564.0,94,497,3,1,0,529.0,1,0.11,8,1,1,1,0,0.0,0,0.0,24.0,24.0,2.0,2.0,1.0,1.0,13,0,0
app,short_term,2400,7,7,1,0.22,0,50,16,25,M,4,graduate,married,4,private,3843.0,119,140,5,2,0,576.0,0,0.8,4,0,2,2,0,0.0,0,0.0,48.0,49.0,2.0,3.0,1.0,1.0,6,4,0
app,short_term,2649,14,4,10,0.52,0,39,42,45,M,4,high,married,7,state,2886.0,19,486,1,3,0,654.0,0,0.48,8,0,3,3,0,0.0,0,0.0,34.333333333333336,53.0,2.3333333333333335,4.0,1.0,1.0,9,0,0
web,installment,3150,90,4,24,0.32,0,46,19,49,M,4,high,single,9,private,2173.0,38,269,3,1,1,629.0,0,0.48,3,2,1,1,0,0.0,0,0.0,36.0,36.0,4.0,4.0,1.0,1.0,10,5,0
app,short_term,1942,7,0,28,0.18,0,75,27,37,F,5,college,single,9,self_employed,5569.0,21,450,1,1,0,669.0,0,0.14,3,0,1,1,0,0.0,0,0.0,52.0,52.0,2.0,2.0,1.0,1.0,12,1,0
partner,short_term,1825,7,5,9,0.37,0,24,28,42,M,3,high,single,2,self_employed,4527.0,34,148,4,3,1,652.0,0,0.58,10,0,3,3,0,0.0,0,0.0,27.0,42.0,1.6666666666666667,3.0,1.0,0.6666666666666666,4,0,0
web,installment,1242,180,4,16,0.46,0,36,29,55,M,2,college,married,5,private,5062.0,54,174,5,2,0,536.0,0,0.08,0,0,2,1,0,0.0,0,0.0,40.5,66.0,3.5,4.0,1.0,0.5,23,2,0
web,installment,3298,90,3,24,0.51,1,66,19,37,F,3,high,single,6,self_employed,11030.0,9,159,4,2,0,548.0,0,0.36,5,1,2,2,0,0.0,0,0.0,31.0,40.0,2.0,3.0,1.0,1.0,13,5,0
app,short_term,2696,7,5,12,0.3,0,42,12,22,M,4,high,married,8,self_employed,2986.0,8,323,3,3,1,601.0,0,0.17,5,2,3,3,0,0.0,0,0.0,38.0,41.0,1.6666666666666667,2.0,0.6666666666666666,0.6666666666666666,4,3,0
app,short_term,613,30,7,22,0.34,0,68,16,48,M,2,high,married,10,private,6288.0,11,247,4,2,0,554.0,0,0.33,10,2,2,2,0,0.0,0,0.0,34.5,46.0,1.0,1.0,1.0,0.0,19,5,0
app,short_term,1851,21,2,32,0.26,0,74,23,42,F,5,high,single,7,state,4916.0,25,179,4,1,1,718.0,0,0.45,1,1,1,1,0,0.0,0,0.0,10.0,10.0,5.0,5.0,0.0,1.0,14,2,0
app,installment,2806,60,0,13,0.4,0,38,8,50,F,2,college,married,1,self_employed,2300.0,99,303,1,1,1,589.0,1,0.17,1,0,1,1,0,0.0,0,0.0,39.0,39.0,2.0,2.0,0.0,1.0,15,3,0
app,installment,1966,120,10,15,0.17,0,91,40,53,M,2,high,single,4,private,3434.0,97,438,4,3,0,714.0,0,0.34,7,2,3,3,0,0.0,0,0.0,40.0,57.0,2.3333333333333335,4.0,1.0,1.0,8,3,0
app,installment,4758,60,6,4,0.22,0,66,31,47,F,2,middle,married,0,self_employed,2875.0,17,376,4,2,0,546.0,0,0.46,9,0,2,2,0,0.0,0,0.0,47.5,52.0,1.5,2.0,1.0,1.0,7,3,0
app,installment,2059,180,7,11,0.3,0,56,20,25,M,3,college,married,8,private,3137.0,102,455,2,3,0,541.0,0,0.19,3,1,3,2,0,0.0,0,0.0,57.666666666666664,64.0,2.0,3.0,1.0,0.6666666666666666,7,4,0
web,short_term,2760,14,5,24,0.6,0,56,19,23,F,5,college,married,10,self_employed,3886.0,50,406,3,2,1,638.0,0,0.47,2,1,2,2,0,0.0,0,0.0,30.0,43.0,2.0,2.0,1.0,1.0,5,0,0
app,short_term,3851,14,9,10,0.22,0,83,57,50,M,3,college,married,2,private,5372.0,3,144,1,1,0,597.0,0,0.31,3,0,1,1,1,1.0,0,0.0,35.0,35.0,1.0,1.0,1.0,1.0,21,2,0
app,short_term,3099,21,5,11,0.11,0,75,31,35,M,3,high,single,8,private,1546.0,120,489,3,1,0,657.0,0,0.21,2,3,1,1,0,0.0,0,0.0,26.0,26.0,3.0,3.0,0.0,1.0,17,0,0
app,installment,4148,120,0,0,0.28,0,71,43,49,F,2,college,single,2,unemployed,5271.0,116,329,2,2,1,665.0,0,0.43,0,1,2,2,0,0.0,0,0.0,38.0,48.0,3.0,4.0,1.0,0.0,19,3,0
partner,short_term,3929,21,5,8,0.1,0,75,20,41,F,4,high,married,4,self_employed,3096.0,12,356,5,1,0,571.0,0,0.5,10,1,1,1,0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,15,2,0
app,short_term,855,14,6,32,0.1,0,57,5,31,F,5,high,married,4,private,4964.0,84,167,1,1,0,526.0,0,0.11,6,3,1,1,0,0.0,0,0.0,85.0,85.0,2.0,2.0,1.0,0.0,0,6,0
app,installment,2233,180,14,19,0.38,0,58,41,25,M,3,high,single,2,self_employed,3298.0,63,122,1,2,1,635.0,0,0.65,8,0,2,2,0,0.0,1,0.5,50.5,71.0,1.0,1.0,0.5,1.0,4,6,0
app,short_term,3224,21,8,33,0.27,0,43,31,29,F,2,college,single,7,unemployed,5236.0,7,74,5,2,0,583.0,2,0.24,3,1,2,2,0,0.0,1,0.5,30.5,43.0,2.5,4.0,1.0,0.5,2,4,0
app,short_term,1003,14,3,15,0.17,0,60,21,29,M,5,college,single,1,private,3457.0,18,273,5,2,1,700.0,0,0.12,7,0,2,2,0,0.0,0,0.0,43.0,46.0,4.0,5.0,0.5,1.0,12,5,0
app,installment,3925,60,10,38,0.07,0,72,4,28,M,3,college,married,1,self_employed,2002.0,90,199,4,1,0,676.0,0,0.65,7,4,1,1,0,0.0,0,0.0,37.0,37.0,1.0,1.0,1.0,1.0,23,5,0
web,installment,1387,180,1,0,0.16,0,75,8,21,M,4,middle,married,3,private,3025.0,85,266,4,3,1,761.0,0,0.44,1,1,3,3,0,0.0,0,0.0,28.0,67.0,1.6666666666666667,2.0,1.0,0.6666666666666666,5,6,0
app,short_term,4375,21,4,18,0.27,0,67,39,18,F,3,college,single,1,private,3916.0,42,466,5,3,0,459.0,0,0.75,6,0,3,1,0,0.0,0,0.0,44.333333333333336,49.0,2.3333333333333335,5.0,1.0,1.0,0,0,0
app,short_term,3010,14,2,25,0.22,0,35,47,24,F,3,high,single,9,self_employed,4077.0,2,144,4,1,1,633.0,0,0.55,5,0,1,1,0,0.0,0,0.0,55.0,55.0,2.0,2.0,1.0,1.0,9,2,0
app,short_term,4374,30,11,28,0.12,0,44,42,53,M,3,college,single,10,private,12293.0,58,221,3,3,0,559.0,0,0.2,2,1,3,3,0,0.0,0,0.0,21.666666666666668,33.0,3.0,5.0,1.0,1.0,1,2,0
app,short_term,2828,14,8,33,0.03,0,59,33,55,M,3,high,married,10,private,6841.0,114,230,5,3,0,612.0,0,0.16,4,2,3,3,0,0.0,0,0.0,50.333333333333336,65.0,3.3333333333333335,5.0,1.0,0.6666666666666666,11,6,0
partner,short_term,4210,14,7,23,0.31,0,68,48,48,M,2,college,single,1,private,2440.0,30,292,2,3,0,662.0,0,0.33,4,0,3,3,0,0.0,0,0.0,42.333333333333336,54.0,2.0,3.0,1.0,1.0,19,1,0
app,installment,859,60,3,18,0.13,0,60,0,18,M,4,high,married,2,self_employed,3807.0,43,339,2,2,0,577.0,0,0.1,10,1,2,1,0,0.0,0,0.0,51.0,79.0,1.5,2.0,1.0,0.5,7,4,0
app,short_term,2935,21,5,9,0.11,0,83,27,52,M,4,high,single,3,state,3041.0,97,154,4,1,1,453.0,0,0.69,3,0,1,1,0,0.0,0,0.0,10.0,10.0,2.0,2.0,1.0,0.0,11,6,0
app,short_term,3508,30,3,13,0.17,0,25,30,43,M,5,high,married,9,private,3635.0,12,394,2,1,1,648.0,0,0.49,7,4,1,1,0,0.0,0,0.0,72.0,72.0,4.0,4.0,1.0,0.0,21,1,0
app,short_term,864,30,6,29,0.25,0,68,58,44,F,4,middle,married,2,state,5175.0,48,161,1,2,0,522.0,0,0.69,3,0,2,2,0,0.0,0,0.0,30.5,43.0,1.0,1.0,1.0,1.0,22,1,0
web,installment,4971,60,2,27,0.52,0,38,47,54,F,4,high,married,5,private,4404.0,28,482,5,3,1,570.0,0,0.27,10,0,3,3,0,0.0,0,0.0,33.0,37.0,1.3333333333333333,2.0,1.0,1.0,13,4,0
app,installment,4446,180,3,40,0.67,0,66,64,39,M,5,college,married,5,self_employed,3669.0,42,318,1,1,1,537.0,0,0.27,7,0,1,1,0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,13,0,0
partner,installment,588,60,2,12,0.27,0,94,20,37,M,4,high,married,9,private,4978.0,45,244,1,3,0,510.0,0,0.21,3,1,3,3,0,0.0,0,0.0,51.0,61.0,2.6666666666666665,4.0,1.0,0.3333333333333333,5,2,0
app,installment,1171,90,7,21,0.14,0,63,36,34,M,3,middle,single,7,self_employed,3303.0,98,336,4,1,0,736.0,0,0.17,6,0,1,1,0,0.0,0,0.0,66.0,66.0,3.0,3.0,1.0,0.0,8,3,0
app,installment,805,60,4,11,0.16,0,58,47,45,F,1,college,married,6,private,2127.0,64,167,2,3,1,524.0,0,0.23,1,0,3,3,0,0.0,0,0.0,20.0,33.0,1.6666666666666667,3.0,1.0,0.6666666666666666,21,5,0
web,installment,3036,180,4,18,0.05,0,66,32,30,M,3,college,single,6,self_employed,3779.0,67,486,2,2,0,567.0,0,0.36,8,0,2,2,0,0.0,0,0.0,43.0,49.0,2.5,4.0,1.0,1.0,8,4,0
app,short_term,4570,30,6,33,0.1,0,97,42,32,M,3,middle,married,10,state,6594.0,35,163,5,1,0,502.0,1,0.1,7,1,1,1,0,0.0,0,0.0,79.0,79.0,1.0,1.0,1.0,1.0,11,2,0
app,installment,2768,180,6,16,0.38,0,33,42,34,M,3,high,married,0,unemployed,3171.0,85,415,4,2,1,576.0,0,0.36,5,0,2,2,0,0.0,0,0.0,46.5,70.0,2.0,2.0,1.0,1.0,13,4,0
app,short_term,3838,30,5,24,0.41,0,96,28,49,F,4,college,married,5,private,5278.0,61,291,3,1,1,563.0,1,0.24,3,0,1,1,0,0.0,0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0,4,0
web,short_term,4565,30,7,29,0.22,0,62,47,44,F,4,college,single,1,state,2951.0,62,115,5,1,0,632.0,0,0.16,4,0,1,1,0,0.0,0,0.0,24.0,24.0,2.0,2.0,1.0,1.0,7,4,0
app,short_term,707,30,8,19,0.17,1,18,20,21,M,3,graduate,married,4,state,2682.0,64,407,4,1,0,659.0,0,0.13,1,0,1,1,0,0.0,0,0.0,65.0,65.0,1.0,1.0,0.0,0.0,16,0,0
app,installment,2528,90,2,16,0.35,0,41,26,29,M,4,middle,married,8,unemployed,6818.0,98,456,4,3,0,739.0,0,0.38,2,0,3,3,0,0.0,0,0.0,17.333333333333332,26.0,2.3333333333333335,4.0,0.6666666666666666,1.0,10,6,0
app,installment,2954,60,4,40,0.23,0,51,55,23,F,3,high,single,2,private,3000.0,21,251,5,3,0,698.0,2,0.45,9,0,3,3,0,0.0,0,0.0,32.666666666666664,56.0,1.6666666666666667,2.0,1.0,0.6666666666666666,6,2,0
web,installment,3615,60,5,18,0.08,0,58,42,44,M,2,high,single,10,private,4507.0,84,124,5,2,1,751.0,0,0.42,10,0,2,2,0,0.0,0,0.0,26.0,37.0,1.5,2.0,1.0,1.0,6,5,0
app,short_term,739,30,4,45,0.19,0,36,18,55,F,1,college,married,2,self_employed,4048.0,115,170,2,3,1,618.0,0,0.21,3,3,3,3,0,0.0,0,0.0,24.666666666666668,41.0,1.0,1.0,1.0,1.0,15,6,0
app,short_term,2226,21,5,15,0.41,0,33,48,45,M,3,graduate,single,1,private,4955.0,78,450,3,3,1,559.0,0,0.33,3,1,3,2,0,0.0,0,0.0,31.333333333333332,44.0,2.0,3.0,1.0,1.0,20,3,0
partner,short_term,3128,30,2,15,0.07,0,90,26,42,F,2,college,married,4,private,3094.0,79,433,5,1,0,657.0,0,0.66,0,0,1,1,0,0.0,0,0.0,62.0,62.0,1.0,1.0,0.0,1.0,18,5,0
app,installment,3348,60,6,23,0.3,0,68,37,31,M,4,college,single,1,private,6065.0,92,76,1,3,1,550.0,0,0.12,4,1,3,3,0,0.0,0,0.0,50.333333333333336,55.0,1.0,1.0,1.0,0.6666666666666666,14,0,0
partner,installment,4319,120,6,36,0.09,0,51,46,37,F,2,middle,single,6,private,5151.0,78,169,1,3,0,652.0,0,0.26,5,0,3,2,0,0.0,0,0.0,22.333333333333332,34.0,2.0,3.0,1.0,1.0,1,2,0
app,installment,1127,60,3,14,0.15,1,55,25,23,F,2,graduate,married,1,private,3808.0,25,407,2,2,1,833.0,0,0.1,6,0,2,2,0,0.0,0,0.0,45.5,48.0,1.5,2.0,1.0,1.0,8,0,0
web,short_term,1425,30,3,36,0.09,0,80,23,25,F,4,graduate,married,3,private,6063.0,61,370,5,1,0,505.0,1,0.06,10,0,1,1,0,0.0,0,0.0,21.0,21.0,2.0,2.0,1.0,1.0,21,6,0
app,installment,3135,60,0,23,0.3,0,85,41,21,F,4,graduate,married,2,private,3611.0,69,457,3,2,0,751.0,0,0.67,4,0,2,2,0,0.0,0,0.0,33.0,52.0,1.5,2.0,1.0,0.5,23,0,0
app,short_term,3989,21,6,13,0.14,1,65,47,35,M,2,high,married,6,private,5192.0,103,127,2,2,1,708.0,0,0.76,0,0,2,2,0,0.0,0,0.0,39.0,47.0,2.0,3.0,1.0,1.0,19,2,0
app,short_term,3021,21,5,21,0.11,0,53,22,21,F,2,high,divorced,0,self_employed,5420.0,105,457,1,1,0,574.0,0,0.18,2,2,1,1,0,0.0,0,0.0,33.0,33.0,1.0,1.0,1.0,1.0,23,1,0
app,installment,4067,60,6,18,0.12,0,43,0,25,F,3,college,single,3,private,5280.0,56,62,2,3,1,663.0,0,0.49,9,0,3,3,0,0.0,0,0.0,31.333333333333332,44.0,2.3333333333333335,3.0,1.0,1.0,17,6,0
app,short_term,3060,7,5,18,0.2,0,25,26,48,M,2,high,single,7,private,3244.0,20,287,5,1,0,544.0,0,0.24,0,1,1,1,0,0.0,0,0.0,66.0,66.0,1.0,1.0,0.0,1.0,22,1,0
app,short_term,782,21,1,18,0.07,0,34,37,39,F,3,high,single,10,private,2053.0,120,464,2,1,1,660.0,0,0.17,5,0,1,1,0,0.0,0,0.0,28.0,28.0,2.0,2.0,1.0,0.0,4,5,0
app,short_term,4484,14,0,27,0.49,0,66,13,32,M,5,high,married,10,private,3089.0,77,324,1,3,0,564.0,0,0.16,5,1,3,2,0,0.0,1,0.3333333333333333,36.0,65.0,3.3333333333333335,5.0,1.0,0.6666666666666666,5,3,0
app,installment,3992,60,9,14,0.48,0,79,62,43,M,2,high,single,3,private,2209.0,36,239,3,2,0,758.0,0,0.38,6,1,2,2,0,0.0,0,0.0,29.0,33.0,1.5,2.0,1.0,0.5,3,3,0
app,short_term,2435,14,4,18,0.42,0,64,38,33,F,3,high,single,2,self_employed,4004.0,56,169,2,1,1,601.0,0,0.38,2,2,1,1,0,0.0,0,0.0,69.0,69.0,1.0,1.0,1.0,1.0,22,1,0
web,short_term,1783,7,5,24,0.64,0,64,46,36,F,4,high,married,10,private,3556.0,75,402,3,1,0,723.0,0,0.29,7,0,1,1,0,0.0,0,0.0,49.0,49.0,1.0,1.0,1.0,1.0,1,3,0
app,short_term,4176,30,0,17,0.25,0,101,43,47,M,3,middle,married,2,private,5508.0,87,270,1,3,0,691.0,1,0.32,1,0,3,3,0,0.0,0,0.0,44.0,48.0,2.0,3.0,1.0,1.0,22,0,0
app,short_term,1252,30,7,28,0.2,0,58,32,36,M,4,college,single,3,private,5190.0,50,263,2,3,0,591.0,0,0.41,2,0,3,2,0,0.0,1,0.3333333333333333,51.0,58.0,1.0,1.0,1.0,1.0,1,1,0
app,short_term,2815,7,8,15,0.5,0,57,21,37,M,5,middle,married,10,private,3730.0,48,471,2,2,0,759.0,0,0.14,1,0,2,2,0,0.0,0,0.0,29.0,30.0,1.0,1.0,1.0,1.0,21,2,0
web,short_term,2269,14,7,14,0.12,1,86,27,23,M,2,high,married,0,private,3177.0,14,217,3,3,0,567.0,0,0.09,7,1,3,3,0,0.0,0,0.0,12.333333333333334,25.0,2.3333333333333335,4.0,1.0,0.6666666666666666,7,4,0
app,installment,2337,180,6,12,0.06,0,47,34,32,M,4,college,married,4,self_employed,1996.0,42,387,2,1,0,624.0,0,0.22,3,1,1,1,0,0.0,0,0.0,15.0,15.0,2.0,2.0,0.0,0.0,11,6,0
app,short_term,3004,30,2,3,0.1,0,58,24,48,M,4,high,single,6,private,9004.0,54,154,2,2,0,576.0,0,0.23,2,0,2,1,1,0.5,0,0.0,36.0,39.0,1.5,2.0,1.0,0.5,13,0,0
app,installment,3444,90,7,8,0.37,0,54,29,40,F,5,middle,married,4,private,2293.0,112,495,5,2,1,764.0,0,0.21,10,1,2,2,0,0.0,0,0.0,24.5,45.0,4.5,5.0,1.0,1.0,3,5,0
app,installment,3902,90,7,28,0.06,0,58,41,29,M,2,high,married,7,self_employed,4884.0,54,398,1,1,1,513.0,0,0.51,6,0,1,1,0,0.0,0,0.0,39.0,39.0,1.0,1.0,1.0,1.0,0,5,0
app,installment,4194,120,4,18,0.53,0,44,30,32,F,3,middle,single,10,state,4855.0,54,93,5,1,0,620.0,0,0.21,8,0,1,1,0,0.0,0,0.0,41.0,41.0,4.0,4.0,1.0,0.0,21,3,0
app,installment,4861,120,11,32,0.08,0,76,39,31,M,2,college,single,1,unemployed,4211.0,101,162,4,1,1,578.0,0,0.19,8,1,1,1,0,0.0,0,0.0,17.0,17.0,2.0,2.0,1.0,1.0,12,6,0
app,short_term,3269,7,6,20,0.06,0,67,23,55,M,4,middle,married,8,self_employed,1983.0,10,321,5,2,1,681.0,2,0.29,6,0,2,2,0,0.0,1,0.5,33.0,39.0,3.0,5.0,1.0,0.5,18,4,0
app,installment,2592,90,6,0,0.48,0,44,35,45,F,1,college,single,9,private,6350.0,4,268,3,3,0,598.0,0,0.57,2,1,3,3,0,0.0,0,0.0,38.0,53.0,2.3333333333333335,4.0,1.0,1.0,3,6,0
app,installment,763,120,2,11,0.25,1,74,28,28,M,2,graduate,married,4,private,3435.0,23,468,5,1,0,582.0,0,0.34,8,1,1,1,0,0.0,0,0.0,60.0,60.0,1.0,1.0,1.0,1.0,10,5,0
app,short_term,3415,7,3,20,0.18,0,63,45,53,M,2,middle,married,5,unemployed,3542.0,47,187,4,1,0,571.0,0,0.22,3,0,1,1,0,0.0,0,0.0,41.0,41.0,3.0,3.0,0.0,1.0,0,4,0
app,short_term,2532,30,4,11,0.13,0,63,37,50,M,3,high,single,5,self_employed,5064.0,49,395,5,3,1,644.0,5,0.55,10,2,3,2,0,0.0,0,0.0,57.666666666666664,79.0,3.0,5.0,0.6666666666666666,0.6666666666666666,13,3,0
app,installment,1444,120,0,19,0.07,0,40,41,52,M,4,high,divorced,4,private,6799.0,75,132,4,2,0,658.0,0,0.42,10,0,2,2,0,0.0,0,0.0,36.5,52.0,2.0,3.0,0.5,0.5,13,0,0
web,short_term,4450,30,3,19,0.36,0,64,38,38,M,4,middle,single,4,self_employed,1633.0,63,400,1,3,0,508.0,0,0.45,4,0,3,2,0,0.0,0,0.0,54.333333333333336,79.0,2.3333333333333335,4.0,1.0,1.0,20,0,0
app,short_term,3960,14,6,18,0.08,1,59,18,53,M,4,graduate,married,5,unemployed,2864.0,109,329,5,3,0,572.0,0,0.26,7,1,3,3,0,0.0,0,0.0,43.0,59.0,2.3333333333333335,3.0,1.0,0.3333333333333333,21,3,0
app,short_term,4060,14,4,11,0.21,0,100,40,51,M,3,high,married,5,unemployed,2496.0,29,57,2,2,0,601.0,0,0.35,3,1,2,2,0,0.0,0,0.0,37.5,70.0,1.5,2.0,0.5,1.0,14,3,0
web,installment,2316,180,3,25,0.15,0,101,25,20,M,4,middle,single,4,self_employed,3318.0,3,455,1,2,0,707.0,0,0.17,1,1,2,2,0,0.0,1,0.5,52.0,53.0,2.5,3.0,1.0,1.0,16,4,0
app,short_term,2018,21,7,33,0.03,0,57,24,44,F,4,college,single,10,private,4788.0,55,53,1,1,0,611.0,0,0.3,0,3,1,1,0,0.0,0,0.0,11.0,11.0,1.0,1.0,0.0,1.0,21,2,0
app,short_term,3204,7,3,14,0.19,0,38,15,40,M,3,middle,married,2,private,4957.0,91,290,5,3,1,754.0,1,0.11,3,1,3,3,0,0.0,0,0.0,38.666666666666664,65.0,1.6666666666666667,2.0,1.0,1.0,12,6,0
app,installment,4673,90,5,25,0.61,0,60,14,37,M,4,middle,single,10,private,5627.0,64,67,4,2,0,552.0,0,0.12,6,6,2,2,0,0.0,0,0.0,41.5,42.0,1.5,2.0,1.0,1.0,18,4,0
web,installment,1975,60,2,23,0.2,0,46,47,53,M,3,college,married,4,private,2482.0,104,388,4,3,1,608.0,0,0.35,4,3,3,3,0,0.0,0,0.0,57.666666666666664,65.0,4.0,5.0,0.6666666666666666,0.6666666666666666,3,6,0
web,short_term,3883,14,11,30,0.22,1,75,18,32,M,3,graduate,single,9,private,2141.0,89,221,3,1,1,596.0,0,0.27,6,0,1,1,0,0.0,0,0.0,27.0,27.0,2.0,2.0,1.0,0.0,17,0,0
app,short_term,4798,30,4,44,0.15,0,46,47,41,F,4,college,married,6,self_employed,4342.0,43,148,1,2,0,549.0,3,0.4,1,0,2,2,0,0.0,0,0.0,13.0,25.0,3.0,5.0,1.0,1.0,12,2,1
app,short_term,4397,21,8,0,0.27,0,42,41,25,M,4,college,married,7,self_employed,3985.0,108,351,4,3,1,745.0,0,0.08,1,3,3,2,0,0.0,1,0.6666666666666666,20.666666666666668,40.0,2.0,3.0,1.0,0.6666666666666666,21,5,0
app,short_term,4106,7,4,24,0.11,0,90,17,54,F,3,college,married,0,state,3295.0,82,402,5,2,1,677.0,1,0.25,7,3,2,2,0,0.0,0,0.0,38.0,48.0,1.0,1.0,1.0,1.0,15,5,0
app,installment,2172,60,6,18,0.17,0,19,20,47,M,2,college,married,2,self_employed,3010.0,13,160,3,3,0,600.0,1,0.45,1,0,3,2,0,0.0,0,0.0,27.333333333333332,44.0,1.0,1.0,1.0,0.6666666666666666,22,4,0
partner,short_term,1825,30,1,1,0.39,1,10,30,53,M,3,college,single,1,unemployed,1745.0,119,317,3,3,0,628.0,0,0.08,4,1,3,3,0,0.0,0,0.0,27.333333333333332,53.0,1.6666666666666667,3.0,0.6666666666666666,0.6666666666666666,16,4,0
