risk_score_decile,cohort,mob,loan_cnt,dpd30_rate,ever_dpd30_rate,active_loan_cnt
1,2025-01,4,12,0.08333333333333333,0.08333333333333333,2
1,2025-01,5,12,0.08333333333333333,0.08333333333333333,0
1,2025-01,6,12,0.08333333333333333,0.08333333333333333,0
1,2025-02,0,20,0.0,0.0,20
1,2025-02,1,20,0.0,0.0,17
1,2025-02,2,20,0.05,0.05,14
1,2025-02,3,20,0.1,0.1,7
1,2025-02,4,20,0.1,0.1,3
1,2025-02,5,20,0.1,0.1,3
1,2025-02,6,20,0.15,0.15,3
1,2025-03,0,11,0.0,0.0,11
1,2025-03,1,11,0.0,0.0,8
1,2025-03,2,11,0.0,0.0,5
1,2025-03,3,11,0.0,0.0,1
1,2025-03,4,11,0.0,0.0,1
1,2025-03,5,11,0.0,0.0,1
1,2025-03,6,11,0.0,0.0,1
1,2025-04,0,14,0.0,0.0,14
1,2025-04,1,14,0.0,0.0,7
1,2025-04,2,14,0.07142857142857142,0.07142857142857142,4
1,2025-04,3,14,0.14285714285714285,0.14285714285714285,3
1,2025-04,4,14,0.14285714285714285,0.14285714285714285,0
1,2025-04,5,14,0.14285714285714285,0.14285714285714285,0
1,2025-04,6,14,0.14285714285714285,0.14285714285714285,0
1,2025-05,0,10,0.0,0.0,10
1,2025-05,1,10,0.0,0.0,5
1,2025-05,2,10,0.0,0.0,5
1,2025-05,3,10,0.1,0.1,2
1,2025-05,4,10,0.1,0.1,2
1,2025-05,5,10,0.1,0.1,1
1,2025-05,6,10,0.1,0.1,1
1,2025-06,0,7,0.0,0.0,7
1,2025-06,1,7,0.0,0.0,5
1,2025-06,2,7,0.0,0.0,4
1,2025-06,3,7,0.0,0.0,2
1,2025-06,4,7,0.0,0.0,1
1,2025-06,5,7,0.0,0.0,0
1,2025-06,6,5,0.0,0.0,0
1,2025-07,0,18,0.0,0.0,18
1,2025-07,1,18,0.05555555555555555,0.05555555555555555,13
1,2025-07,2,18,0.1111111111111111,0.1111111111111111,7
1,2025-07,3,18,0.16666666666666666,0.16666666666666666,4
1,2025-07,4,18,0.16666666666666666,0.16666666666666666,2
1,2025-07,5,14,0.21428571428571427,0.21428571428571427,2
1,2025-08,0,21,0.0,0.0,21
1,2025-08,1,21,0.0,0.0,14
1,2025-08,2,21,0.047619047619047616,0.047619047619047616,10
1,2025-08,3,21,0.09523809523809523,0.09523809523809523,7
1,2025-08,4,18,0.1111111111111111,0.1111111111111111,5
1,2025-09,0,14,0.0,0.0,14
1,2025-09,1,14,0.0,0.0,10
1,2025-09,2,14,0.0,0.0,5
1,2025-09,3,11,0.0,0.0,3
1,2025-10,0,17,0.0,0.0,17
1,2025-10,1,17,0.0,0.0,12
1,2025-10,2,12,0.0,0.0,5
1,2025-11,0,15,0.0,0.0,15
1,2025-11,1,12,0.0,0.0,6
1,2025-12,0,17,0.0,0.0,17
2,2024-01,0,5,0.0,0.0,5
2,2024-01,1,5,0.0,0.0,4
2,2024-01,2,5,0.0,0.0,3
2,2024-01,3,5,0.0,0.0,2
2,2024-01,4,5,0.0,0.0,2
2,2024-01,5,5,0.0,0.0,2
2,2024-01,6,5,0.0,0.0,2
2,2024-02,0,16,0.0,0.0,16
2,2024-02,1,16,0.0,0.0,12
2,2024-02,2,16,0.125,0.125,9
2,2024-02,3,16,0.125,0.125,7
2,2024-02,4,16,0.125,0.125,4
2,2024-02,5,16,0.125,0.125,3
2,2024-02,6,16,0.125,0.125,3
2,2024-03,0,16,0.0,0.0,16
2,2024-03,1,16,0.0625,0.0625,15
2,2024-03,2,16,0.0625,0.0625,11
2,2024-03,3,16,0.0625,0.0625,8
2,2024-03,4,16,0.0625,0.0625,1
2,2024-03,5,16,0.0625,0.0625,1
2,2024-03,6,16,0.0625,0.0625,1
2,2024-04,0,20,0.0,0.0,20
2,2024-04,1,20,0.0,0.0,15
2,2024-04,2,20,0.0,0.0,9
2,2024-04,3,20,0.0,0.0,7
2,2024-04,4,20,0.0,0.0,6
2,2024-04,5,20,0.0,0.0,4
2,2024-04,6,20,0.0,0.0,4
2,2024-05,0,15,0.0,0.0,15
2,2024-05,1,15,0.0,0.0,11
2,2024-05,2,15,0.06666666666666667,0.06666666666666667,8
2,2024-05,3,15,0.06666666666666667,0.06666666666666667,5
2,2024-05,4,15,0.06666666666666667,0.06666666666666667,4
2,2024-05,5,15,0.06666666666666667,0.06666666666666667,2
2,2024-05,6,15,0.06666666666666667,0.06666666666666667,2
2,2024-06,0,24,0.0,0.0,24
2,2024-06,1,24,0.0,0.0,14
2,2024-06,2,24,0.0,0.0,13
2,2024-06,3,24,0.0,0.0,10
2,2024-06,4,24,0.0,0.0,6
2,2024-06,5,24,0.0,0.0,5
2,2024-06,6,24,0.0,0.0,5
2,2024-07,0,15,0.0,0.0,15
2,2024-07,1,15,0.0,0.0,11
2,2024-07,2,15,0.0,0.0,8
2,2024-07,3,15,0.0,0.0,5
2,2024-07,4,15,0.0,0.0,4
2,2024-07,5,15,0.0,0.0,1
2,2024-07,6,15,0.0,0.0,1
2,2024-08,0,18,0.0,0.0,18
2,2024-08,1,18,0.0,0.0,8
2,2024-08,2,18,0.0,0.0,7
2,2024-08,3,18,0.05555555555555555,0.05555555555555555,4
2,2024-08,4,18,0.05555555555555555,0.05555555555555555,4
2,2024-08,5,18,0.05555555555555555,0.05555555555555555,3
2,2024-08,6,18,0.05555555555555555,0.05555555555555555,3
2,2024-09,0,9,0.0,0.0,9
2,2024-09,1,9,0.0,0.0,5
2,2024-09,2,9,0.0,0.0,5
2,2024-09,3,9,0.0,0.0,3
2,2024-09,4,9,0.0,0.0,3
2,2024-09,5,9,0.0,0.0,2
2,2024-09,6,9,0.0,0.0,2
2,2024-10,0,14,0.0,0.0,14
2,2024-10,1,14,0.0,0.0,8
2,2024-10,2,14,0.07142857142857142,0.07142857142857142,3
2,2024-10,3,14,0.07142857142857142,0.07142857142857142,1
2,2024-10,4,14,0.07142857142857142,0.07142857142857142,1
2,2024-10,5,14,0.21428571428571427,0.21428571428571427,0
2,2024-10,6,14,0.21428571428571427,0.21428571428571427,0
2,2024-11,0,8,0.0,0.0,8
2,2024-11,1,8,0.0,0.0,4
2,2024-11,2,8,0.0,0.0,3
2,2024-11,3,8,0.0,0.0,1
2,2024-11,4,8,0.0,0.0,0
2,2024-11,5,8,0.0,0.0,0
2,2024-11,6,8,0.0,0.0,0
2,2024-12,0,15,0.0,0.0,15
2,2024-12,1,15,0.06666666666666667,0.06666666666666667,11
2,2024-12,2,15,0.06666666666666667,0.06666666666666667,8
2,2024-12,3,15,0.06666666666666667,0.06666666666666667,6
2,2024-12,4,15,0.06666666666666667,0.06666666666666667,4
2,2024-12,5,15,0.06666666666666667,0.06666666666666667,3
2,2024-12,6,15,0.06666666666666667,0.06666666666666667,3
2,2025-01,0,19,0.0,0.0,19
2,2025-01,1,19,0.0,0.0,11
2,2025-01,2,19,0.0,0.0,7
2,2025-01,3,19,0.0,0.0,6
2,2025-01,4,19,0.0,0.0,3
2,2025-01,5,19,0.05263157894736842,0.05263157894736842,2
2,2025-01,6,19,0.10526315789473684,0.10526315789473684,2
2,2025-02,0,13,0.0,0.0,13
2,2025-02,1,13,0.0,0.0,7
2,2025-02,2,13,0.0,0.0,4
2,2025-02,3,13,0.0,0.0,1
2,2025-02,4,13,0.0,0.0,1
2,2025-02,5,13,0.0,0.0,0
2,2025-02,6,13,0.07692307692307693,0.07692307692307693,0
2,2025-03,0,16,0.0,0.0,16
2,2025-03,1,16,0.0,0.0,8
2,2025-03,2,16,0.0,0.0,6
2,2025-03,3,16,0.0,0.0,4
2,2025-03,4,16,0.0,0.0,3
2,2025-03,5,16,0.0,0.0,2
2,2025-03,6,16,0.0,0.0,2
2,2025-04,0,9,0.0,0.0,9
2,2025-04,1,9,0.0,0.0,6
2,2025-04,2,9,0.1111111111111111,0.1111111111111111,5
2,2025-04,3,9,0.1111111111111111,0.1111111111111111,4
2,2025-04,4,9,0.1111111111111111,0.1111111111111111,3
2,2025-04,5,9,0.1111111111111111,0.1111111111111111,2
2,2025-04,6,9,0.1111111111111111,0.1111111111111111,2
2,2025-05,0,8,0.0,0.0,8
2,2025-05,1,8,0.0,0.0,5
2,2025-05,2,8,0.0,0.0,3
2,2025-05,3,8,0.125,0.125,1
2,2025-05,4,8,0.125,0.125,1
2,2025-05,5,8,0.125,0.125,0
2,2025-05,6,8,0.125,0.125,0
2,2025-06,0,13,0.0,0.0,13
2,2025-06,1,13,0.0,0.0,7
2,2025-06,2,13,0.0,0.0,6
2,2025-06,3,13,0.0,0.0,4
2,2025-06,4,13,0.0,0.0,2
2,2025-06,5,13,0.0,0.0,1
2,2025-06,6,11,0.0,0.0,1
2,2025-07,0,18,0.0,0.0,18
2,2025-07,1,18,0.0,0.0,10
2,2025-07,2,18,0.05555555555555555,0.05555555555555555,8
2,2025-07,3,18,0.05555555555555555,0.05555555555555555,5
2,2025-07,4,18,0.05555555555555555,0.05555555555555555,4
2,2025-07,5,14,0.07142857142857142,0.07142857142857142,1
2,2025-08,0,12,0.0,0.0,12
2,2025-08,1,12,0.0,0.0,9
2,2025-08,2,12,0.0,0.0,5
2,2025-08,3,12,0.0,0.0,5
2,2025-08,4,10,0.0,0.0,4
2,2025-09,0,10,0.0,0.0,10
2,2025-09,1,10,0.0,0.0,6
2,2025-09,2,10,0.0,0.0,4
2,2025-09,3,8,0.0,0.0,1
2,2025-10,0,13,0.0,0.0,13
2,2025-10,1,13,0.0,0.0,7
2,2025-10,2,10,0.0,0.0,5
2,2025-11,0,11,0.0,0.0,11
2,2025-11,1,9,0.0,0.0,4
2,2025-12,0,11,0.0,0.0,11
3,2024-01,0,6,0.0,0.0,6
3,2024-01,1,6,0.0,0.0,4
3,2024-01,2,6,0.0,0.0,3
3,2024-01,3,6,0.0,0.0,2
3,2024-01,4,6,0.0,0.0,2
3,2024-01,5,6,0.0,0.0,0
3,2024-01,6,6,0.0,0.0,0
3,2024-02,0,20,0.0,0.0,20
3,2024-02,1,20,0.0,0.0,13
3,2024-02,2,20,0.0,0.0,12
3,2024-02,3,20,0.0,0.0,8
3,2024-02,4,20,0.0,0.0,5
3,2024-02,5,20,0.0,0.0,1
3,2024-02,6,20,0.0,0.0,1
3,2024-03,0,22,0.0,0.0,22
3,2024-03,1,22,0.0,0.0,14
3,2024-03,2,22,0.0,0.0,8
3,2024-03,3,22,0.0,0.0,6
3,2024-03,4,22,0.0,0.0,4
3,2024-03,5,22,0.0,0.0,2
3,2024-03,6,22,0.0,0.0,2
3,2024-04,0,13,0.0,0.0,13
3,2024-04,1,13,0.0,0.0,6
3,2024-04,2,13,0.0,0.0,1
3,2024-04,3,13,0.0,0.0,1
3,2024-04,4,13,0.0,0.0,0
3,2024-04,5,13,0.0,0.0,0
3,2024-04,6,13,0.0,0.0,0
3,2024-05,0,23,0.0,0.0,23
3,2024-05,1,23,0.0,0.0,17
3,2024-05,2,23,0.0,0.0,11
3,2024-05,3,23,0.0,0.0,10
3,2024-05,4,23,0.0,0.0,6
3,2024-05,5,23,0.0,0.0,4
3,2024-05,6,23,0.0,0.0,4
3,2024-06,0,16,0.0,0.0,16
3,2024-06,1,16,0.0,0.0,11
3,2024-06,2,16,0.0,0.0,6
3,2024-06,3,16,0.0,0.0,4
3,2024-06,4,16,0.0,0.0,4
3,2024-06,5,16,0.0,0.0,1
3,2024-06,6,16,0.0,0.0,1
3,2024-07,0,11,0.0,0.0,11
3,2024-07,1,11,0.0,0.0,4
3,2024-07,2,11,0.0,0.0,4
3,2024-07,3,11,0.0,0.0,3
3,2024-07,4,11,0.0,0.0,1
3,2024-07,5,11,0.0,0.0,1
3,2024-07,6,11,0.0,0.0,1
3,2024-08,0,18,0.0,0.0,18
3,2024-08,1,18,0.0,0.0,6
3,2024-08,2,18,0.0,0.0,5
3,2024-08,3,18,0.0,0.0,4
3,2024-08,4,18,0.0,0.0,3
3,2024-08,5,18,0.0,0.0,1
3,2024-08,6,18,0.0,0.0,1
3,2024-09,0,19,0.0,0.0,19
3,2024-09,1,19,0.0,0.0,12
3,2024-09,2,19,0.0,0.0,9
3,2024-09,3,19,0.0,0.0,6
3,2024-09,4,19,0.0,0.0,3
3,2024-09,5,19,0.0,0.0,1
3,2024-09,6,19,0.0,0.0,1
3,2024-10,0,18,0.0,0.0,18
3,2024-10,1,18,0.0,0.0,14
3,2024-10,2,18,0.05555555555555555,0.05555555555555555,9
3,2024-10,3,18,0.1111111111111111,0.1111111111111111,5
3,2024-10,4,18,0.1111111111111111,0.1111111111111111,1
3,2024-10,5,18,0.1111111111111111,0.1111111111111111,0
3,2024-10,6,18,0.1111111111111111,0.1111111111111111,0
3,2024-11,0,18,0.0,0.0,18
3,2024-11,1,18,0.0,0.0,15
3,2024-11,2,18,0.0,0.0,8
3,2024-11,3,18,0.0,0.0,6
3,2024-11,4,18,0.0,0.0,5
3,2024-11,5,18,0.0,0.0,2
3,2024-11,6,18,0.0,0.0,2
3,2024-12,0,13,0.0,0.0,13
3,2024-12,1,13,0.0,0.0,6
3,2024-12,2,13,0.0,0.0,5
3,2024-12,3,13,0.0,0.0,2
3,2024-12,4,13,0.0,0.0,0
3,2024-12,5,13,0.0,0.0,0
3,2024-12,6,13,0.0,0.0,0
3,2025-01,0,11,0.0,0.0,11
3,2025-01,1,11,0.0,0.0,6
3,2025-01,2,11,0.0,0.0,4
3,2025-01,3,11,0.0,0.0,2
3,2025-01,4,11,0.0,0.0,2
3,2025-01,5,11,0.0,0.0,1
3,2025-01,6,11,0.0,0.0,1
3,2025-02,0,20,0.0,0.0,20
3,2025-02,1,20,0.0,0.0,13
3,2025-02,2,20,0.0,0.0,9
3,2025-02,3,20,0.05,0.05,6
3,2025-02,4,20,0.05,0.05,2
3,2025-02,5,20,0.05,0.05,1
3,2025-02,6,20,0.05,0.05,1
3,2025-03,0,13,0.0,0.0,13
3,2025-03,1,13,0.0,0.0,7
3,2025-03,2,13,0.0,0.0,6
3,2025-03,3,13,0.0,0.0,5
3,2025-03,4,13,0.0,0.0,4
3,2025-03,5,13,0.0,0.0,2
3,2025-03,6,13,0.0,0.0,2
3,2025-04,0,10,0.0,0.0,10
3,2025-04,1,10,0.0,0.0,6
3,2025-04,2,10,0.0,0.0,2
3,2025-04,3,10,0.0,0.0,2
3,2025-04,4,10,0.0,0.0,2
3,2025-04,5,10,0.0,0.0,1
3,2025-04,6,10,0.0,0.0,1
3,2025-05,0,11,0.0,0.0,11
3,2025-05,1,11,0.0,0.0,6
3,2025-05,2,11,0.0,0.0,6
3,2025-05,3,11,0.0,0.0,4
3,2025-05,4,11,0.0,0.0,4
3,2025-05,5,11,0.0,0.0,2
3,2025-05,6,11,0.0,0.0,2
3,2025-06,0,17,0.0,0.0,17
3,2025-06,1,17,0.0,0.0,11
3,2025-06,2,17,0.0,0.0,8
3,2025-06,3,17,0.0,0.0,5
3,2025-06,4,17,0.0,0.0,3
3,2025-06,5,17,0.0,0.0,3
3,2025-06,6,15,0.0,0.0,3
3,2025-07,0,14,0.0,0.0,14
3,2025-07,1,14,0.0,0.0,10
3,2025-07,2,14,0.0,0.0,6
3,2025-07,3,14,0.0,0.0,5
3,2025-07,4,14,0.0,0.0,4
3,2025-07,5,10,0.0,0.0,2
3,2025-08,0,14,0.0,0.0,14
3,2025-08,1,14,0.0,0.0,9
3,2025-08,2,14,0.0,0.0,6
3,2025-08,3,14,0.0,0.0,5
3,2025-08,4,13,0.0,0.0,3
3,2025-09,0,14,0.0,0.0,14
3,2025-09,1,14,0.0,0.0,11
3,2025-09,2,14,0.0,0.0,9
3,2025-09,3,8,0.0,0.0,3
3,2025-10,0,14,0.0,0.0,14
3,2025-10,1,14,0.07142857142857142,0.07142857142857142,10
3,2025-10,2,11,0.0,0.0,4
3,2025-11,0,19,0.0,0.0,19
3,2025-11,1,13,0.0,0.0,8
3,2025-12,0,16,0.0,0.0,16
4,2024-01,0,2,0.0,0.0,2
4,2024-01,1,2,0.0,0.0,1
4,2024-01,2,2,0.0,0.0,1
4,2024-01,3,2,0.0,0.0,0
4,2024-01,4,2,0.0,0.0,0
4,2024-01,5,2,0.0,0.0,0
4,2024-01,6,2,0.0,0.0,0
4,2024-02,0,14,0.0,0.0,14
4,2024-02,1,14,0.0,0.0,10
4,2024-02,2,14,0.0,0.0,9
4,2024-02,3,14,0.0,0.0,7
4,2024-02,4,14,0.0,0.0,4
4,2024-02,5,14,0.0,0.0,1
4,2024-02,6,14,0.0,0.0,1
4,2024-03,0,14,0.0,0.0,14
4,2024-03,1,14,0.0,0.0,10
4,2024-03,2,14,0.0,0.0,8
4,2024-03,3,14,0.0,0.0,7
4,2024-03,4,14,0.0,0.0,3
4,2024-03,5,14,0.0,0.0,2
4,2024-03,6,14,0.0,0.0,2
4,2024-04,0,10,0.0,0.0,10
4,2024-04,1,10,0.0,0.0,7
4,2024-04,2,10,0.0,0.0,5
4,2024-04,3,10,0.0,0.0,4
4,2024-04,4,10,0.0,0.0,4
4,2024-04,5,10,0.0,0.0,0
4,2024-04,6,10,0.0,0.0,0
4,2024-05,0,14,0.0,0.0,14
4,2024-05,1,14,0.0,0.0,10
4,2024-05,2,14,0.0,0.0,8
4,2024-05,3,14,0.0,0.0,6
4,2024-05,4,14,0.0,0.0,1
4,2024-05,5,14,0.07142857142857142,0.07142857142857142,0
4,2024-05,6,14,0.07142857142857142,0.07142857142857142,0
4,2024-06,0,18,0.0,0.0,18
4,2024-06,1,18,0.0,0.0,11
4,2024-06,2,18,0.0,0.0,10
4,2024-06,3,18,0.05555555555555555,0.05555555555555555,8
4,2024-06,4,18,0.05555555555555555,0.05555555555555555,5
4,2024-06,5,18,0.1111111111111111,0.1111111111111111,2
4,2024-06,6,18,0.1111111111111111,0.1111111111111111,2
4,2024-07,0,5,0.0,0.0,5
4,2024-07,1,5,0.0,0.0,3
4,2024-07,2,5,0.0,0.0,3
4,2024-07,3,5,0.0,0.0,1
4,2024-07,4,5,0.0,0.0,0
4,2024-07,5,5,0.0,0.0,0
4,2024-07,6,5,0.0,0.0,0
4,2024-08,0,11,0.0,0.0,11
4,2024-08,1,11,0.0,0.0,8
4,2024-08,2,11,0.0,0.0,8
4,2024-08,3,11,0.0,0.0,6
4,2024-08,4,11,0.0,0.0,3
4,2024-08,5,11,0.0,0.0,0
4,2024-08,6,11,0.0,0.0,0
4,2024-09,0,9,0.0,0.0,9
4,2024-09,1,9,0.0,0.0,6
4,2024-09,2,9,0.0,0.0,4
4,2024-09,3,9,0.0,0.0,2
4,2024-09,4,9,0.0,0.0,0
4,2024-09,5,9,0.0,0.0,0
4,2024-09,6,9,0.0,0.0,0
4,2024-10,0,12,0.0,0.0,12
4,2024-10,1,12,0.0,0.0,10
4,2024-10,2,12,0.0,0.0,6
4,2024-10,3,12,0.0,0.0,4
4,2024-10,4,12,0.0,0.0,3
4,2024-10,5,12,0.0,0.0,1
4,2024-10,6,12,0.0,0.0,1
4,2024-11,0,18,0.0,0.0,18
4,2024-11,1,18,0.0,0.0,15
4,2024-11,2,18,0.05555555555555555,0.05555555555555555,13
4,2024-11,3,18,0.05555555555555555,0.05555555555555555,8
4,2024-11,4,18,0.05555555555555555,0.05555555555555555,5
4,2024-11,5,18,0.05555555555555555,0.05555555555555555,3
4,2024-11,6,18,0.05555555555555555,0.05555555555555555,3
4,2024-12,0,16,0.0,0.0,16
4,2024-12,1,16,0.0,0.0,10
4,2024-12,2,16,0.0,0.0,8
4,2024-12,3,16,0.0,0.0,6
4,2024-12,4,16,0.0,0.0,2
4,2024-12,5,16,0.0,0.0,1
4,2024-12,6,16,0.0,0.0,1
4,2025-01,0,7,0.0,0.0,7
4,2025-01,1,7,0.0,0.0,6
4,2025-01,2,7,0.0,0.0,5
4,2025-01,3,7,0.0,0.0,3
4,2025-01,4,7,0.0,0.0,3
4,2025-01,5,7,0.0,0.0,1
4,2025-01,6,7,0.0,0.0,1
4,2025-02,0,21,0.0,0.0,21
4,2025-02,1,21,0.0,0.0,12
4,2025-02,2,21,0.0,0.0,8
4,2025-02,3,21,0.0,0.0,3
4,2025-02,4,21,0.0,0.0,3
4,2025-02,5,21,0.0,0.0,3
4,2025-02,6,21,0.0,0.0,3
4,2025-03,0,11,0.0,0.0,11
4,2025-03,1,11,0.0,0.0,9
4,2025-03,2,11,0.09090909090909091,0.09090909090909091,5
4,2025-03,3,11,0.09090909090909091,0.09090909090909091,3
4,2025-03,4,11,0.09090909090909091,0.09090909090909091,3
4,2025-03,5,11,0.09090909090909091,0.09090909090909091,2
4,2025-03,6,11,0.09090909090909091,0.09090909090909091,2
4,2025-04,0,19,0.0,0.0,19
4,2025-04,1,19,0.0,0.0,12
4,2025-04,2,19,0.0,0.0,9
4,2025-04,3,19,0.0,0.0,8
4,2025-04,4,19,0.0,0.0,6
4,2025-04,5,19,0.0,0.0,5
4,2025-04,6,19,0.0,0.0,5
4,2025-05,0,14,0.0,0.0,14
4,2025-05,1,14,0.0,0.0,11
4,2025-05,2,14,0.0,0.0,5
4,2025-05,3,14,0.0,0.0,3
4,2025-05,4,14,0.0,0.0,2
4,2025-05,5,14,0.0,0.0,2
4,2025-05,6,14,0.0,0.0,2
4,2025-06,0,16,0.0,0.0,16
4,2025-06,1,16,0.0,0.0,12
4,2025-06,2,16,0.0,0.0,8
4,2025-06,3,16,0.0,0.0,7
4,2025-06,4,16,0.0,0.0,3
4,2025-06,5,16,0.0,0.0,0
4,2025-06,6,14,0.0,0.0,0
4,2025-07,0,16,0.0,0.0,16
4,2025-07,1,16,0.0,0.0,12
4,2025-07,2,16,0.0,0.0,11
4,2025-07,3,16,0.0625,0.0625,11
4,2025-07,4,16,0.0625,0.0625,4
4,2025-07,5,11,0.09090909090909091,0.09090909090909091,2
4,2025-08,0,10,0.0,0.0,10
4,2025-08,1,10,0.0,0.0,5
4,2025-08,2,10,0.0,0.0,4
4,2025-08,3,10,0.0,0.0,1
4,2025-08,4,9,0.0,0.0,1
4,2025-09,0,12,0.0,0.0,12
4,2025-09,1,12,0.0,0.0,7
4,2025-09,2,12,0.0,0.0,6
4,2025-09,3,8,0.0,0.0,3
4,2025-10,0,15,0.0,0.0,15
4,2025-10,1,15,0.0,0.0,9
4,2025-10,2,9,0.0,0.0,6
4,2025-11,0,5,0.0,0.0,5
4,2025-11,1,4,0.0,0.0,2
4,2025-12,0,9,0.0,0.0,9
5,2024-01,0,3,0.0,0.0,3
5,2024-01,1,3,0.0,0.0,3
5,2024-01,2,3,0.0,0.0,2
5,2024-01,3,3,0.0,0.0,2
5,2024-01,4,3,0.0,0.0,2
5,2024-01,5,3,0.0,0.0,1
5,2024-01,6,3,0.0,0.0,1
5,2024-02,0,11,0.0,0.0,11
5,2024-02,1,11,0.0,0.0,8
5,2024-02,2,11,0.0,0.0,4
5,2024-02,3,11,0.0,0.0,4
5,2024-02,4,11,0.0,0.0,3
5,2024-02,5,11,0.0,0.0,1
5,2024-02,6,11,0.0,0.0,1
5,2024-03,0,13,0.0,0.0,13
5,2024-03,1,13,0.0,0.0,9
5,2024-03,2,13,0.0,0.0,9
5,2024-03,3,13,0.0,0.0,6
5,2024-03,4,13,0.0,0.0,5
5,2024-03,5,13,0.0,0.0,4
5,2024-03,6,13,0.0,0.0,4
