app_id,user_id,apply_dt,login_7d,login_30d,night_ratio,device_change_90d,app_install_cnt,sms_cnt_7d
234,4041,2024-08-23 08:38:11,9,25,0.21,0,66,10
235,3445,2024-06-12 10:55:42,5,31,0.23,0,42,28
236,936,2025-04-30 22:20:35,7,3,0.37,0,38,55
237,1939,2024-02-05 21:39:01,1,31,0.42,0,69,18
238,1422,2024-05-02 16:08:59,4,8,0.29,0,85,12
239,1508,2025-05-06 23:48:54,5,21,0.11,0,53,22
240,3911,2025-07-12 17:06:53,6,19,0.47,0,76,28
241,4289,2024-06-23 17:40:13,6,18,0.12,0,43,0
242,467,2025-04-15 22:26:35,5,18,0.2,0,25,26
243,4046,2025-02-15 04:09:49,1,18,0.07,0,34,37
244,672,2024-08-01 05:45:31,0,27,0.49,0,66,13
245,4163,2024-02-01 03:38:33,9,14,0.48,0,79,62
246,2219,2024-08-26 09:46:18,5,7,0.19,0,35,17
247,2008,2024-08-26 13:14:06,4,29,0.09,0,55,27
248,3294,2024-12-10 22:01:12,4,18,0.42,0,64,38
249,830,2025-11-15 11:16:44,4,16,0.27,0,40,18
250,3062,2025-07-27 09:21:13,5,30,0.38,0,99,6
251,258,2024-10-10 01:03:45,5,24,0.64,0,64,46
252,792,2024-07-29 00:11:01,9,14,0.2,0,63,49
253,1830,2024-08-26 22:28:12,0,17,0.25,0,101,43
254,3441,2024-11-26 01:50:19,7,28,0.2,0,58,32
255,944,2024-07-17 21:32:50,8,15,0.5,0,57,21
256,2749,2024-12-27 07:14:21,7,14,0.12,1,86,27
257,1921,2024-09-22 11:48:27,6,12,0.06,0,47,34
258,4353,2025-06-07 16:19:31,4,19,0.11,0,52,30
259,2318,2025-10-11 14:01:25,6,20,0.05,0,70,33
260,1500,2024-07-07 21:32:48,3,15,0.27,0,51,35
261,2191,2024-10-12 17:57:59,5,27,0.32,1,43,46
262,858,2025-12-10 21:45:10,0,13,0.08,0,78,36
263,4477,2024-11-25 23:46:08,7,8,0.58,0,36,64
264,1834,2024-03-06 22:07:52,6,18,0.48,0,81,31
265,1231,2024-05-06 13:42:50,2,3,0.1,0,58,24
266,3673,2024-06-01 03:32:23,7,8,0.37,0,54,29
267,57,2025-12-11 03:08:34,6,23,0.23,0,88,30
268,1583,2024-10-27 02:54:51,11,23,0.47,0,91,20
269,1071,2024-07-13 00:45:48,7,28,0.06,0,58,41
270,3811,2024-12-19 21:58:47,4,18,0.53,0,44,30
271,3,2024-11-02 16:17:08,4,31,0.28,0,64,36
272,1463,2024-08-14 22:24:36,5,12,0.57,0,31,22
273,4515,2024-07-30 23:26:38,3,17,0.06,1,56,34
274,2545,2025-02-16 12:44:43,11,32,0.08,0,76,39
275,382,2024-04-19 18:54:45,6,20,0.06,0,67,23
276,1367,2025-04-24 08:22:06,5,33,0.06,0,55,44
277,1673,2024-11-28 02:33:37,3,26,0.05,0,80,9
278,971,2024-07-21 06:01:40,2,30,0.21,0,54,42
279,1713,2024-03-06 23:30:01,6,17,0.43,0,41,8
280,1220,2024-05-19 03:13:17,6,0,0.48,0,44,35
281,1767,2025-01-18 00:36:56,2,15,0.28,1,51,37
282,4655,2025-09-14 23:37:24,8,40,0.28,0,76,41
283,1866,2025-06-25 16:43:26,6,24,0.6,0,78,16
284,4840,2024-03-30 10:34:20,2,11,0.25,1,74,28
285,3219,2024-04-12 16:08:36,8,20,0.56,0,41,36
286,2973,2025-09-06 14:30:13,6,14,0.26,0,48,43
287,507,2025-07-30 06:52:58,7,30,0.19,0,53,33
288,836,2025-10-23 00:43:42,5,21,0.13,0,69,55
289,3379,2024-03-07 07:18:28,5,20,0.15,0,78,13
290,540,2024-02-11 02:15:18,4,23,0.16,0,92,46
291,2026,2025-03-05 03:54:14,14,22,0.32,0,40,34
292,1665,2025-09-10 21:13:15,7,26,0.21,0,67,31
293,1121,2024-11-03 22:00:56,0,19,0.23,0,58,32
294,4520,2024-11-29 00:56:02,3,20,0.18,0,63,45
295,1527,2025-08-17 11:28:48,3,32,0.42,0,80,40
296,812,2025-09-09 11:28:01,4,29,0.27,0,78,23
297,4376,2024-12-21 16:06:23,7,8,0.05,0,51,21
298,2094,2024-10-24 13:15:10,4,11,0.13,0,63,37
299,3075,2024-09-02 13:21:31,0,19,0.07,0,40,41
300,2365,2024-09-11 15:23:45,5,30,0.05,0,42,17
301,3468,2024-03-16 02:01:55,8,30,0.43,0,52,44
302,4413,2024-10-03 19:45:00,7,21,0.33,0,68,40
303,603,2024-02-05 06:56:33,4,10,0.37,0,93,52
304,4478,2025-03-05 16:27:35,11,46,0.13,0,21,51
305,2977,2024-10-21 20:29:55,3,19,0.36,0,64,38
306,1068,2025-08-18 08:20:52,11,2,0.31,0,40,36
307,3743,2025-01-16 21:39:21,6,18,0.08,1,59,18
308,769,2024-07-25 00:27:35,5,23,0.06,0,62,33
309,693,2024-10-12 02:49:23,0,18,0.18,0,63,34
310,777,2025-02-13 14:44:49,4,11,0.21,0,100,40
311,194,2024-02-14 04:10:25,7,23,0.24,0,30,58
312,2493,2024-08-16 07:15:44,5,23,0.24,0,74,33
313,1505,2024-05-30 11:48:25,1,23,0.19,0,67,36
314,2719,2024-12-05 14:24:17,4,19,0.09,0,28,24
315,638,2025-08-23 23:34:02,8,7,0.34,0,58,38
316,1569,2025-05-06 16:05:06,3,19,0.32,0,75,38
317,4431,2024-02-09 16:16:52,3,25,0.15,0,101,25
318,4141,2024-10-02 21:27:27,7,33,0.03,0,57,24
319,4009,2025-09-11 21:59:26,0,12,0.18,0,93,30
320,2543,2025-05-27 22:12:03,0,13,0.21,0,83,30
321,1873,2025-01-19 12:00:51,3,14,0.19,0,38,15
322,3799,2025-04-18 18:09:27,5,25,0.61,0,60,14
323,2527,2024-07-11 15:37:11,0,2,0.31,0,39,34
324,42,2024-04-01 00:57:32,0,20,0.31,0,26,47
325,2349,2024-10-13 03:00:34,2,23,0.2,0,46,47
326,1809,2024-06-24 17:09:07,11,30,0.22,1,75,18
327,1473,2025-09-08 05:16:20,6,20,0.4,0,97,16
328,3823,2025-01-22 12:09:56,4,44,0.15,0,46,47
329,3352,2025-01-13 12:57:53,6,13,0.41,1,70,42
330,1698,2024-04-14 08:46:33,9,14,0.17,0,64,56
331,2555,2024-05-21 03:50:25,6,24,0.14,0,91,13
332,58,2025-09-09 19:20:54,6,24,0.27,0,41,46
333,1665,2025-01-18 21:02:10,8,0,0.27,0,42,41
334,1212,2025-07-18 22:00:07,6,4,0.28,0,60,28
335,1244,2024-06-04 03:25:40,9,4,0.36,0,52,12
336,3001,2025-06-09 14:06:12,6,26,0.52,0,64,0
337,204,2025-05-08 22:58:58,3,15,0.06,0,27,30
338,2604,2024-04-20 02:17:09,7,18,0.38,0,57,31
339,1904,2025-11-05 20:04:12,8,39,0.17,0,59,33
340,211,2024-03-10 02:21:29,3,13,0.15,0,22,51
341,1022,2025-08-29 07:13:41,0,16,0.17,0,46,8
342,3890,2025-10-06 06:02:23,7,0,0.3,0,41,11
343,1155,2025-02-10 11:36:25,1,8,0.12,0,36,29
344,355,2024-08-26 04:18:58,2,20,0.34,0,80,46
345,3867,2024-08-18 01:40:37,5,17,0.58,0,73,26
346,64,2024-08-03 15:37:33,4,24,0.11,0,90,17
347,4890,2024-03-29 22:10:26,6,18,0.17,0,19,20
348,4357,2024-09-13 16:40:11,1,1,0.39,1,10,30
349,55,2024-04-12 11:10:17,0,10,0.22,0,33,50
350,4702,2025-03-14 07:23:16,1,41,0.35,0,60,55
351,1171,2024-03-07 03:43:28,5,6,0.31,0,73,3
352,4602,2025-07-13 15:40:18,9,5,0.26,0,64,10
353,3728,2024-11-05 05:21:15,7,29,0.15,0,63,39
354,933,2024-07-25 23:09:18,5,11,0.22,0,49,19
355,2945,2024-10-29 22:21:07,0,10,0.08,1,72,55
356,4338,2024-11-28 10:21:12,6,28,0.11,0,63,15
357,606,2025-10-18 23:55:52,7,3,0.67,0,37,39
358,355,2024-10-02 17:24:07,12,5,0.07,0,61,10
359,2568,2024-09-30 05:39:08,8,8,0.12,1,71,22
360,268,2024-07-18 14:24:48,6,17,0.2,0,66,18
361,1139,2025-02-06 01:36:50,4,26,0.43,0,48,26
362,4572,2025-01-09 07:26:34,1,15,0.45,0,70,16
363,2824,2025-09-26 05:09:20,2,32,0.08,0,71,40
364,3468,2024-02-29 12:38:34,3,8,0.44,0,51,27
365,623,2024-06-18 23:00:07,3,29,0.29,0,85,38
366,1926,2024-07-17 00:39:30,4,18,0.34,0,64,27
367,306,2025-05-09 15:43:13,4,35,0.07,1,51,28
368,3326,2024-03-10 07:28:51,2,28,0.18,0,70,40
369,3238,2025-07-08 10:11:59,0,32,0.39,0,47,0
370,3740,2024-03-19 07:40:56,2,23,0.19,0,76,46
371,1904,2024-05-14 23:14:05,1,35,0.41,0,73,25
372,4298,2024-02-01 06:42:10,5,20,0.27,0,51,15
373,3132,2025-05-19 01:31:36,8,29,0.21,0,77,30
374,2240,2025-08-08 16:51:15,8,12,0.5,0,50,1
375,1713,2024-12-14 17:18:06,2,28,0.16,0,67,9
376,3914,2025-07-13 09:38:54,6,27,0.38,0,41,22
377,3462,2025-09-07 07:11:25,2,23,0.23,0,66,24
378,3532,2024-09-04 04:01:16,5,16,0.06,0,74,36
379,3016,2024-02-17 10:33:31,9,13,0.2,0,36,46
380,1051,2025-02-09 19:10:13,4,18,0.79,1,47,37
381,2017,2024-10-01 06:36:01,1,17,0.23,0,46,48
382,4746,2024-07-17 00:11:10,7,5,0.39,0,49,33
383,2803,2025-09-04 22:23:21,8,17,0.42,0,30,12
384,1539,2024-02-18 22:18:13,0,16,0.37,0,48,29
385,3365,2025-03-07 23:48:29,6,33,0.32,0,85,35
386,3302,2024-12-07 23:02:39,10,14,0.15,0,68,31
387,4420,2025-12-21 11:22:43,0,21,0.15,0,96,20
388,2430,2024-05-04 18:03:46,4,27,0.21,0,39,36
389,1070,2025-08-28 03:55:05,4,7,0.19,0,57,25
390,2476,2025-01-07 21:53:53,4,6,0.14,0,100,17
391,404,2024-10-08 15:34:59,6,15,0.32,0,76,26
392,4766,2024-09-07 14:40:50,8,28,0.25,1,60,26
393,2060,2025-11-03 00:41:00,3,16,0.33,0,20,31
394,1134,2025-06-06 05:23:50,0,11,0.37,0,74,44
395,2098,2025-09-02 19:50:22,5,14,0.03,0,73,29
396,2922,2025-03-04 08:13:25,5,34,0.14,0,63,52
397,4510,2024-03-21 18:56:20,6,11,0.16,0,87,24
398,4334,2025-01-21 18:23:26,4,26,0.34,0,35,18
399,4687,2025-06-02 17:46:09,5,22,0.2,0,31,34
400,1285,2024-08-04 05:19:30,6,0,0.24,0,52,27
401,2599,2025-03-06 04:33:07,3,25,0.15,0,68,8
402,2790,2024-06-29 07:36:42,6,48,0.08,1,68,19
403,3462,2024-12-07 05:47:47,5,16,0.4,0,72,7
404,3652,2025-09-10 16:15:22,5,14,0.4,0,63,13
405,2600,2024-09-10 12:53:53,10,10,0.46,0,93,0
406,3481,2024-09-25 03:54:43,3,0,0.11,0,41,45
407,4681,2025-08-17 05:30:35,9,18,0.25,1,77,45
408,2937,2024-04-24 11:52:34,7,39,0.22,0,56,45
409,3856,2025-05-22 07:11:57,3,14,0.22,0,30,0
410,1598,2024-11-19 23:13:58,8,17,0.09,0,81,13
411,2911,2024-11-19 02:13:34,2,14,0.28,0,50,45
412,3430,2025-03-29 18:45:12,12,21,0.28,0,82,33
413,4112,2024-02-15 02:53:22,6,20,0.28,0,36,31
414,4052,2024-02-28 18:53:29,6,30,0.21,1,22,12
415,1013,2025-06-18 12:11:11,6,20,0.01,0,59,12
416,3295,2024-08-21 07:37:48,0,8,0.31,0,45,45
417,4075,2025-10-31 15:26:29,4,25,0.27,0,64,21
418,3565,2025-09-01 16:31:26,5,25,0.44,0,82,40
419,491,2025-06-14 06:58:53,7,25,0.08,0,54,38
420,4114,2025-11-11 06:17:06,5,23,0.19,0,44,54
421,3323,2025-09-12 13:58:11,5,6,0.39,0,10,8
422,209,2025-04-19 02:16:30,8,19,0.31,1,101,16
423,4543,2024-11-23 09:53:22,3,10,0.05,0,57,42
424,294,2025-12-13 00:21:57,5,16,0.4,0,25,51
425,1648,2024-02-08 23:21:26,1,21,0.09,0,66,48
426,685,2024-04-18 19:08:01,1,12,0.47,0,71,57
427,487,2025-10-29 21:52:50,9,13,0.16,0,42,29
428,2716,2025-06-28 04:17:43,0,21,0.15,0,58,18
429,2070,2025-12-22 17:51:10,2,12,0.63,0,39,45
430,3890,2025-09-24 16:42:21,3,26,0.26,0,57,64
431,2452,2025-09-24 14:32:58,3,29,0.29,0,81,22
432,2284,2025-04-23 17:10:06,2,27,0.13,0,75,52
433,319,2024-12-15 04:02:17,2,22,0.28,0,45,37
434,2455,2025-08-14 05:54:28,7,6,0.69,1,67,24
435,3532,2024-09-30 16:40:31,0,28,0.26,0,48,25
436,402,2025-05-11 05:59:59,4,15,0.42,0,87,36
