user_id,register_dt,age,gender,city_tier,education,marital_status,residence_years,company_type,monthly_income,phone_age_months,contact_count,emergency_contact_count,device_count,has_credit_card
91,2024-11-05 16:59:45,41,M,3,college,single,1,unemployed,3762.0,36,68,1,3,1
92,2025-08-02 11:28:17,30,F,4,college,single,9,unemployed,3377.0,75,288,5,3,1
93,2025-08-29 10:26:29,53,F,3,graduate,single,4,private,6350.0,57,145,4,3,0
94,2024-10-01 20:37:16,29,F,1,college,married,7,private,2758.0,103,376,4,3,1
95,2025-10-09 14:29:42,38,F,5,college,single,7,self_employed,3984.0,10,392,2,3,0
96,2024-07-21 11:30:30,38,F,2,college,single,3,private,4352.0,61,231,4,2,0
97,2024-06-15 21:03:08,27,F,2,high,single,3,unemployed,4245.0,63,402,4,3,1
98,2025-05-05 05:19:16,36,F,5,college,single,10,private,3280.0,62,133,1,1,1
99,2025-04-01 20:04:01,22,M,4,high,divorced,9,self_employed,5878.0,10,201,3,3,0
100,2024-04-04 00:27:48,42,M,5,college,single,5,state,1753.0,56,77,1,2,0
101,2025-08-22 21:32:52,46,F,4,middle,married,5,private,2483.0,106,339,4,1,0
102,2024-05-17 22:23:30,54,F,3,high,married,0,self_employed,4593.0,73,372,5,2,0
103,2025-08-02 13:49:56,30,M,2,college,married,2,private,2676.0,14,393,5,3,1
104,2023-12-29 08:59:13,28,M,2,high,married,0,private,2622.0,87,214,3,1,1
105,2025-07-27 16:40:55,38,M,5,high,married,8,private,3092.0,112,427,5,1,0
106,2025-07-20 10:54:54,44,M,4,high,married,10,private,2766.0,97,341,5,2,1
107,2025-07-15 15:58:58,55,F,2,college,single,1,private,4550.0,12,309,3,3,0
108,2025-04-22 08:11:13,18,M,3,high,married,3,private,4997.0,4,150,2,3,0
109,2024-12-02 05:51:22,27,F,2,high,single,3,private,3755.0,22,429,1,3,1
110,2025-05-21 18:29:50,27,F,2,graduate,single,8,private,5266.0,42,390,4,3,0
111,2024-07-13 07:10:15,27,F,4,graduate,single,4,private,2241.0,112,444,2,3,1
112,2025-07-15 22:22:21,35,M,1,middle,married,0,self_employed,3739.0,52,205,3,1,0
113,2025-02-01 14:56:05,51,F,3,college,single,6,private,5836.0,117,298,5,2,0
114,2024-11-23 00:12:15,19,F,5,middle,single,1,self_employed,5125.0,12,73,1,3,0
115,2024-12-27 02:13:17,49,F,3,graduate,single,7,private,6019.0,92,320,2,3,0
116,2025-02-11 04:20:44,41,M,3,high,single,9,private,2962.0,91,280,3,2,0
117,2024-01-20 04:50:08,41,M,2,high,single,0,private,5019.0,116,419,4,2,1
118,2024-04-04 01:14:36,43,F,1,high,married,10,private,3136.0,63,379,5,1,1
119,2024-06-20 04:49:48,22,M,2,college,single,7,state,4484.0,73,496,5,3,1
120,2024-03-16 14:34:00,46,M,1,middle,divorced,0,self_employed,5761.0,1,470,3,2,0
121,2024-11-08 22:01:47,27,F,2,college,married,2,private,2757.0,106,125,3,1,0
122,2025-04-24 22:25:11,37,F,2,high,married,1,private,1902.0,76,487,3,2,0
123,2025-04-14 17:35:37,43,M,2,college,married,9,self_employed,6951.0,85,63,1,1,0
124,2024-12-01 21:36:19,40,M,1,college,single,7,private,4319.0,41,255,4,2,0
125,2025-09-08 05:00:06,30,M,5,high,married,4,self_employed,3507.0,10,470,5,2,1
126,2025-02-08 14:56:11,33,F,2,high,single,5,state,3440.0,88,325,4,3,0
127,2024-02-19 19:32:18,36,F,3,high,single,3,private,1748.0,88,497,2,3,1
128,2025-07-04 10:46:47,19,M,4,college,single,4,private,3917.0,22,301,5,1,1
129,2025-02-15 11:00:10,45,M,1,middle,married,7,private,3024.0,99,357,2,1,0
130,2025-03-31 08:15:53,21,M,3,college,married,2,state,3708.0,1,290,3,2,0
131,2025-02-08 17:20:26,35,M,4,college,single,8,unemployed,3680.0,79,468,2,3,0
132,2025-01-31 02:42:39,42,F,3,college,married,10,private,1500.0,11,101,3,1,0
133,2024-02-28 02:43:25,21,M,2,college,single,10,unemployed,4322.0,91,225,5,3,1
134,2025-02-04 05:18:34,55,M,4,middle,single,1,private,3890.0,53,352,3,1,0
135,2025-07-26 06:52:08,32,M,4,high,single,4,private,4077.0,40,272,4,3,0
136,2024-08-01 21:12:20,18,M,2,college,married,2,state,3415.0,90,485,5,2,1
137,2025-03-08 01:43:33,43,F,1,high,married,6,unemployed,3704.0,97,312,1,1,0
138,2024-01-15 11:55:42,39,F,1,college,single,3,private,3868.0,73,107,5,3,0
139,2024-09-02 16:11:09,42,F,4,graduate,single,4,self_employed,4008.0,89,326,1,2,1
140,2024-11-06 19:17:19,46,M,2,middle,married,1,private,4300.0,2,190,4,2,0
141,2025-12-10 09:34:35,36,F,2,high,married,6,self_employed,4020.0,99,261,3,3,0
142,2024-05-28 15:31:24,49,M,3,high,single,5,self_employed,6956.0,71,84,2,2,0
143,2024-07-12 21:07:36,32,F,5,middle,married,6,self_employed,2824.0,19,442,4,2,0
144,2024-10-17 05:25:18,38,F,1,graduate,married,3,state,3193.0,58,231,5,2,0
145,2025-12-17 15:30:05,24,M,1,graduate,married,8,state,6585.0,76,413,1,1,0
146,2025-09-06 23:37:18,41,F,3,high,single,6,unemployed,3449.0,96,267,1,1,0
147,2024-01-18 07:49:14,27,M,4,graduate,married,1,state,5045.0,63,477,3,2,0
148,2024-06-11 18:37:11,44,F,3,middle,married,4,private,3818.0,31,211,1,1,0
149,2025-08-14 19:44:10,48,M,4,graduate,single,7,self_employed,3362.0,31,97,2,3,0
150,2024-02-04 13:27:50,50,M,1,college,married,1,self_employed,5142.0,87,264,3,2,0
151,2025-09-08 15:21:12,53,M,2,high,married,3,state,4365.0,104,65,3,2,0
152,2024-07-16 09:50:44,22,M,2,college,married,9,self_employed,2128.0,76,412,4,3,0
153,2025-10-23 21:15:55,23,M,2,college,married,4,private,3869.0,96,464,3,2,1
154,2024-07-25 07:45:45,53,M,3,high,single,5,private,2570.0,75,146,1,3,0
155,2024-11-05 01:13:49,32,F,4,high,married,7,private,5681.0,59,73,4,3,0
156,2025-04-20 04:46:38,18,M,2,college,single,3,self_employed,6726.0,49,391,2,1,1
157,2024-03-25 04:26:18,28,M,4,middle,married,9,self_employed,7016.0,59,360,1,1,1
158,2025-02-02 15:12:11,49,F,2,middle,single,0,self_employed,4126.0,2,407,4,2,1
159,2024-12-26 15:52:17,31,F,3,high,single,5,private,3098.0,70,306,3,1,0
160,2025-07-18 05:53:47,20,M,3,college,single,6,unemployed,4075.0,23,312,4,2,0
161,2025-12-20 03:47:34,45,M,3,high,married,2,private,2620.0,109,172,4,3,1
162,2025-04-21 22:46:23,25,F,1,college,married,8,private,8274.0,102,192,1,3,1
163,2024-10-17 16:56:47,31,F,5,high,married,0,unemployed,5530.0,60,334,5,3,1
164,2024-10-15 15:53:52,18,M,5,high,single,7,self_employed,4050.0,75,472,2,1,0
165,2024-10-24 02:38:13,40,F,4,college,single,6,unemployed,5161.0,5,189,4,3,0
166,2025-08-09 05:38:13,34,M,4,middle,married,8,state,3065.0,70,214,4,1,0
167,2024-08-14 11:41:58,50,M,2,college,single,2,private,2471.0,103,315,1,2,0
168,2024-04-23 21:21:55,30,F,3,high,married,1,private,1678.0,64,72,1,3,1
169,2024-08-24 00:47:09,25,F,2,college,divorced,6,self_employed,3748.0,104,344,5,3,1
170,2024-01-09 13:54:55,24,F,4,high,married,10,private,3385.0,10,111,1,1,0
171,2024-03-10 11:37:04,25,M,2,college,single,8,self_employed,4367.0,117,358,2,2,0
172,2024-02-27 17:38:18,35,M,2,middle,married,2,private,3658.0,42,452,5,3,0
173,2025-07-09 05:35:53,21,M,4,college,married,4,private,4298.0,4,463,1,2,0
174,2025-06-03 07:44:08,33,M,1,high,married,2,self_employed,4836.0,75,117,4,2,1
175,2025-05-15 15:25:27,50,M,4,middle,married,8,unemployed,2184.0,74,319,2,2,0
176,2024-11-25 04:05:20,47,M,2,college,single,5,private,4935.0,16,251,3,2,0
177,2025-05-30 10:51:54,42,M,3,high,married,4,private,3158.0,42,271,1,2,0
178,2024-04-19 17:28:53,51,F,4,high,single,0,private,4364.0,111,362,3,1,0
179,2025-10-11 10:53:30,47,M,3,college,married,6,private,5207.0,23,496,2,3,1
180,2024-12-23 18:18:16,42,M,2,college,married,4,self_employed,5220.0,9,308,4,3,0
181,2025-11-07 18:39:37,50,F,1,college,married,0,private,3809.0,99,300,4,1,1
182,2024-04-13 04:30:28,22,M,1,graduate,single,2,private,3876.0,82,344,3,1,0
183,2024-12-21 01:13:22,49,F,1,high,married,7,self_employed,4975.0,60,277,1,2,0
184,2025-05-15 07:31:58,29,M,3,middle,single,8,self_employed,2153.0,37,207,4,2,0
185,2024-12-19 19:21:54,45,M,2,college,married,5,private,2610.0,105,421,3,3,0
186,2024-11-13 16:39:28,52,F,2,high,married,8,unemployed,3302.0,104,348,4,1,0
187,2024-04-23 08:04:15,36,F,2,high,married,8,private,2284.0,1,304,4,3,0
188,2024-09-27 03:29:30,21,F,5,middle,single,6,private,3311.0,100,54,1,1,0
189,2024-06-15 07:11:05,32,F,1,high,married,2,self_employed,3248.0,57,174,1,1,0
190,2024-07-31 02:29:30,33,M,2,high,married,4,private,3754.0,40,168,3,3,0
191,2025-05-06 02:26:08,53,F,3,high,married,8,unemployed,3569.0,42,342,5,2,1
192,2025-03-28 02:33:03,53,F,1,college,married,3,state,5294.0,56,105,2,1,1
193,2025-03-11 06:04:53,39,F,5,college,married,7,unemployed,4450.0,69,222,3,3,0
194,2024-09-13 02:57:24,54,M,1,graduate,single,9,private,3552.0,116,255,4,2,0
195,2025-11-23 13:48:50,34,M,4,middle,single,5,private,3240.0,4,384,5,1,1
196,2024-02-25 23:37:35,33,F,3,high,married,5,self_employed,3581.0,73,115,4,3,0
197,2024-08-30 02:11:25,49,M,4,college,married,2,self_employed,3603.0,8,323,5,1,0
198,2024-03-19 03:27:48,43,M,3,middle,single,5,self_employed,8792.0,1,296,5,2,0
199,2024-08-27 10:17:43,37,M,4,high,single,0,private,2186.0,37,383,1,1,0
200,2025-11-25 04:26:49,35,M,3,college,married,1,state,2633.0,94,131,3,2,0
201,2024-09-16 08:56:13,44,M,3,college,married,5,private,2501.0,42,320,4,1,1
202,2025-10-17 06:20:01,46,M,4,high,married,2,private,4001.0,44,236,3,1,1
203,2024-12-19 09:33:01,36,M,3,college,married,3,state,3946.0,109,166,1,1,1
204,2025-05-17 18:52:08,19,M,3,college,divorced,3,self_employed,2979.0,34,83,4,3,1
205,2024-11-21 21:57:15,21,F,2,college,married,5,state,4982.0,93,221,1,3,0
206,2024-07-05 02:02:30,23,M,2,high,single,7,private,4144.0,100,248,2,1,1
207,2025-07-03 21:18:00,35,M,2,college,married,4,self_employed,5056.0,78,72,5,1,1
208,2025-11-30 11:58:12,41,M,1,college,married,9,unemployed,5548.0,117,414,5,2,0
209,2024-07-03 08:57:20,48,M,3,high,married,5,private,1727.0,119,361,1,2,1
210,2025-07-14 11:42:57,26,F,1,college,single,10,self_employed,4628.0,8,192,2,3,1
211,2024-07-01 15:10:22,47,F,3,college,married,10,self_employed,2318.0,21,71,2,3,0
212,2025-05-30 07:54:58,43,M,4,high,married,4,private,3973.0,47,368,3,3,0
213,2025-07-21 23:23:41,19,M,3,high,single,8,self_employed,3549.0,80,60,5,1,1
214,2024-11-16 00:48:48,31,M,4,high,divorced,4,unemployed,3603.0,34,242,5,1,0
215,2025-06-13 22:49:52,29,M,1,college,married,9,self_employed,2388.0,77,143,1,1,0
216,2024-07-09 17:40:19,51,M,1,middle,married,8,private,5222.0,108,155,4,2,0
217,2024-02-19 20:31:17,53,M,4,college,married,3,state,2318.0,1,390,1,3,0
218,2024-03-03 08:46:10,49,M,4,high,single,3,self_employed,4735.0,105,186,3,3,0
219,2024-11-14 07:51:20,38,F,4,college,married,9,state,2206.0,59,160,3,3,0
220,2025-10-12 21:35:38,36,M,3,college,single,5,private,3618.0,109,186,3,3,0
221,2024-03-26 03:08:47,29,M,4,college,married,7,private,6847.0,82,117,5,2,0
222,2024-11-20 17:12:02,47,M,4,college,married,7,self_employed,8321.0,6,384,4,2,1
223,2025-05-20 22:38:30,21,M,4,high,married,1,private,2066.0,109,273,5,1,0
224,2024-05-19 17:24:22,28,M,4,high,married,2,unemployed,2845.0,7,140,3,1,1
225,2025-06-02 18:43:09,23,M,1,college,married,9,private,3032.0,31,188,3,3,0
226,2024-08-03 08:21:36,36,M,1,middle,single,3,self_employed,8017.0,67,490,3,2,0
227,2025-08-05 07:44:10,29,M,2,college,single,9,private,3555.0,109,310,2,3,1
228,2025-02-18 19:55:36,25,F,3,college,single,3,self_employed,5304.0,21,360,4,3,1
229,2025-01-26 05:48:55,32,F,4,college,married,9,self_employed,4044.0,65,436,2,2,1
230,2024-05-01 01:03:32,50,M,2,high,married,6,private,2393.0,14,230,1,1,1
231,2024-11-26 03:22:03,39,M,2,college,married,1,private,1899.0,41,207,3,2,0
232,2025-09-09 07:52:56,49,F,4,middle,single,2,unemployed,2938.0,32,500,4,3,0
233,2024-01-07 06:03:37,52,F,2,graduate,married,10,self_employed,8192.0,52,305,3,1,1
234,2025-06-29 17:15:43,52,M,4,college,married,2,state,3984.0,86,147,1,2,0
235,2024-12-17 17:11:49,31,M,2,college,divorced,2,private,5266.0,87,437,1,2,0
236,2025-06-01 04:59:27,51,M,2,college,married,1,unemployed,2216.0,81,394,4,3,0
237,2025-04-21 04:58:52,52,F,3,high,married,6,self_employed,3249.0,4,230,5,1,1
238,2024-11-03 10:16:12,54,M,2,college,married,8,private,4782.0,95,172,2,1,0
239,2024-08-05 07:50:57,31,M,1,college,single,10,private,2485.0,78,346,5,2,0
240,2025-03-25 22:27:03,26,M,2,middle,single,9,private,3560.0,8,295,3,1,0
241,2024-04-04 08:43:45,40,M,2,graduate,married,9,self_employed,2676.0,114,156,1,2,0
242,2025-02-22 09:23:47,53,M,2,college,married,9,self_employed,4862.0,92,74,2,1,0
243,2024-03-02 03:03:03,52,F,4,graduate,single,6,private,4186.0,84,419,5,2,0
244,2025-04-11 09:18:44,39,M,1,college,single,9,private,4625.0,59,431,2,3,1
245,2025-03-26 23:37:02,23,M,3,high,married,6,private,4939.0,96,458,5,3,0
246,2024-02-23 15:27:52,34,M,1,college,single,1,private,3362.0,38,215,4,3,1
247,2025-06-28 23:11:16,45,F,5,middle,single,0,unemployed,5173.0,87,367,5,2,0
248,2024-10-22 12:56:44,39,M,4,college,married,1,self_employed,2962.0,74,313,3,2,0
249,2025-07-20 10:15:02,31,M,5,high,married,3,private,4532.0,74,170,1,1,1
250,2024-01-23 09:04:49,31,M,5,college,single,5,private,1827.0,96,468,3,3,0
251,2024-05-03 00:04:40,20,F,2,high,single,7,private,2804.0,21,201,5,3,0
252,2024-12-18 14:43:08,28,F,4,high,single,5,self_employed,8189.0,13,63,5,2,0
253,2024-05-09 09:42:18,43,F,2,middle,single,4,private,4509.0,67,124,3,1,0
254,2024-08-20 19:10:06,27,F,4,college,married,8,private,4510.0,97,486,1,3,0
255,2025-04-19 05:41:42,55,M,3,high,single,9,unemployed,2729.0,31,80,2,1,1
256,2024-04-07 12:03:49,21,M,3,high,single,2,state,2483.0,69,286,2,1,0
257,2025-05-01 17:21:19,40,M,5,high,married,2,self_employed,3319.0,115,268,5,1,0
258,2024-03-08 11:37:11,36,F,4,high,married,10,private,3556.0,75,402,3,1,0
259,2024-04-29 21:14:39,49,F,5,graduate,single,10,private,7116.0,10,420,3,3,0
260,2025-02-24 23:31:58,51,M,1,high,single,3,self_employed,5201.0,106,263,5,2,0
261,2025-07-25 05:49:34,38,F,2,high,married,5,self_employed,3782.0,118,334,1,1,0
262,2024-04-26 12:47:19,41,M,2,high,married,6,self_employed,3726.0,86,417,2,3,0
263,2024-07-29 23:52:25,44,M,3,middle,married,6,state,4747.0,74,415,4,2,0
264,2025-10-29 08:06:16,37,M,3,high,single,9,private,2295.0,71,447,2,3,0
265,2025-12-15 11:15:29,25,F,2,middle,married,1,state,1859.0,75,368,3,2,1
266,2025-02-20 04:11:28,34,F,4,middle,single,5,private,4723.0,41,222,5,1,0
267,2024-11-14 08:06:30,27,M,2,middle,single,2,private,3734.0,78,302,4,3,1
268,2024-09-02 05:09:32,35,F,4,high,married,8,state,2300.0,62,375,3,3,0
269,2025-03-15 02:09:27,41,F,4,college,married,6,private,1749.0,96,183,1,3,0
270,2025-02-27 08:50:21,25,F,3,middle,single,8,private,4978.0,101,500,5,3,0
271,2024-07-26 04:04:23,27,F,2,college,single,9,private,3033.0,86,250,1,3,0
272,2024-01-09 15:31:25,49,M,2,college,married,8,private,4188.0,120,391,1,3,1
273,2024-04-12 14:15:01,32,F,2,college,single,9,self_employed,3320.0,54,278,2,3,1
274,2025-11-22 17:57:26,25,F,4,high,single,8,unemployed,3598.0,91,481,2,2,0
275,2024-10-24 06:04:26,45,F,3,college,single,6,private,2959.0,42,351,4,3,0
276,2024-12-10 01:57:22,45,M,1,college,single,4,private,3545.0,95,382,3,2,1
277,2024-11-28 23:43:27,49,F,5,graduate,married,3,self_employed,4456.0,33,399,5,1,0
278,2025-07-17 09:31:16,46,F,4,college,single,3,private,3306.0,84,198,1,1,1
279,2024-02-09 10:02:20,55,M,4,middle,married,6,self_employed,3241.0,2,207,5,2,1
280,2024-02-22 09:25:46,39,F,3,graduate,married,8,private,4504.0,93,423,3,2,1
281,2024-07-12 08:50:37,28,M,5,college,single,4,state,4610.0,35,258,3,2,0
282,2024-12-13 06:15:14,50,M,2,high,married,6,private,2445.0,30,350,1,1,0
283,2025-04-26 22:05:35,28,M,2,high,single,4,self_employed,3604.0,41,283,4,2,0
284,2024-12-16 05:11:11,29,F,4,graduate,married,6,state,3031.0,51,64,3,2,0
285,2024-11-10 01:15:52,49,F,4,high,married,9,private,3658.0,16,262,4,1,1
286,2025-11-07 14:43:10,51,M,3,college,married,4,private,6014.0,67,127,5,2,0
287,2024-04-19 13:03:06,30,F,2,high,single,4,state,4128.0,15,89,2,2,0
288,2025-02-13 08:40:31,45,M,2,college,married,2,unemployed,7766.0,66,167,5,2,0
289,2025-01-22 20:07:35,53,M,4,middle,married,5,private,3932.0,45,182,3,1,0
290,2024-12-03 15:32:03,48,F,4,college,single,5,private,3435.0,72,385,2,3,0
291,2025-08-04 13:06:25,18,F,2,college,single,1,state,3616.0,19,163,4,2,0
292,2024-07-05 21:24:49,43,F,1,graduate,single,10,private,3827.0,117,409,1,2,0
293,2025-11-19 06:06:01,24,F,3,high,single,9,self_employed,4077.0,2,144,4,1,1
294,2024-08-22 01:05:19,50,F,4,middle,single,3,self_employed,2573.0,103,422,5,2,1
295,2025-01-24 20:28:42,20,M,3,high,married,10,private,3356.0,43,287,2,2,0
296,2025-01-07 02:10:49,55,M,3,middle,divorced,2,state,2826.0,100,80,3,1,0
297,2025-09-04 08:06:31,24,M,5,graduate,single,4,self_employed,5221.0,72,99,4,2,1
298,2024-11-08 09:43:43,33,F,2,middle,married,1,private,1856.0,100,82,3,1,1
299,2024-07-18 17:28:22,26,F,3,high,married,6,state,3846.0,67,235,5,2,0
300,2024-01-08 18:38:37,48,F,3,college,married,5,private,2140.0,96,185,5,1,0
301,2024-09-14 11:38:34,32,M,3,high,divorced,2,private,4236.0,79,70,2,2,1
302,2025-08-18 04:38:04,46,M,4,high,married,3,state,3167.0,82,357,2,1,0
303,2023-12-31 05:43:54,20,F,3,college,married,10,state,1928.0,69,434,4,2,0
304,2025-10-08 04:44:12,35,F,3,high,single,7,self_employed,5063.0,31,429,3,2,0
