loan_id,app_id,user_id,disburse_dt,principal,term_days,days_since_disburse,dpd_start_day,dpd_max_180d,paid_off_dt,chargeoff_dt,snapshot_dt,mob,dpd,dpd_bucket,is_active
9,21,3931,2025-01-06 23:35:09,4762,14,60,999,0,2025-01-22 23:35:09,,2025-03-07 23:35:09,2,0,M0,0
9,21,3931,2025-01-06 23:35:09,4762,14,90,999,0,2025-01-22 23:35:09,,2025-04-06 23:35:09,3,0,M0,0
9,21,3931,2025-01-06 23:35:09,4762,14,120,999,0,2025-01-22 23:35:09,,2025-05-06 23:35:09,4,0,M0,0
9,21,3931,2025-01-06 23:35:09,4762,14,150,999,0,2025-01-22 23:35:09,,2025-06-05 23:35:09,5,0,M0,0
9,21,3931,2025-01-06 23:35:09,4762,14,180,999,0,2025-01-22 23:35:09,,2025-07-05 23:35:09,6,0,M0,0
10,22,2099,2024-05-12 09:04:02,974,14,0,999,0,2024-05-30 09:04:02,,2024-05-12 09:04:02,0,0,M0,1
10,22,2099,2024-05-12 09:04:02,974,14,30,999,0,2024-05-30 09:04:02,,2024-06-11 09:04:02,1,0,M0,0
10,22,2099,2024-05-12 09:04:02,974,14,60,999,0,2024-05-30 09:04:02,,2024-07-11 09:04:02,2,0,M0,0
10,22,2099,2024-05-12 09:04:02,974,14,90,999,0,2024-05-30 09:04:02,,2024-08-10 09:04:02,3,0,M0,0
10,22,2099,2024-05-12 09:04:02,974,14,120,999,0,2024-05-30 09:04:02,,2024-09-09 09:04:02,4,0,M0,0
10,22,2099,2024-05-12 09:04:02,974,14,150,999,0,2024-05-30 09:04:02,,2024-10-09 09:04:02,5,0,M0,0
10,22,2099,2024-05-12 09:04:02,974,14,180,999,0,2024-05-30 09:04:02,,2024-11-08 09:04:02,6,0,M0,0
11,24,1393,2025-06-27 04:10:42,1697,7,0,999,0,2025-07-10 04:10:42,,2025-06-27 04:10:42,0,0,M0,1
11,24,1393,2025-06-27 04:10:42,1697,7,30,999,0,2025-07-10 04:10:42,,2025-07-27 04:10:42,1,0,M0,0
11,24,1393,2025-06-27 04:10:42,1697,7,60,999,0,2025-07-10 04:10:42,,2025-08-26 04:10:42,2,0,M0,0
11,24,1393,2025-06-27 04:10:42,1697,7,90,999,0,2025-07-10 04:10:42,,2025-09-25 04:10:42,3,0,M0,0
11,24,1393,2025-06-27 04:10:42,1697,7,120,999,0,2025-07-10 04:10:42,,2025-10-25 04:10:42,4,0,M0,0
11,24,1393,2025-06-27 04:10:42,1697,7,150,999,0,2025-07-10 04:10:42,,2025-11-24 04:10:42,5,0,M0,0
12,25,1192,2024-08-08 03:51:33,887,90,0,999,0,2024-11-12 03:51:33,,2024-08-08 03:51:33,0,0,M0,1
12,25,1192,2024-08-08 03:51:33,887,90,30,999,0,2024-11-12 03:51:33,,2024-09-07 03:51:33,1,0,M0,1
12,25,1192,2024-08-08 03:51:33,887,90,60,999,0,2024-11-12 03:51:33,,2024-10-07 03:51:33,2,0,M0,1
12,25,1192,2024-08-08 03:51:33,887,90,90,999,0,2024-11-12 03:51:33,,2024-11-06 03:51:33,3,0,M0,1
12,25,1192,2024-08-08 03:51:33,887,90,120,999,0,2024-11-12 03:51:33,,2024-12-06 03:51:33,4,0,M0,0
12,25,1192,2024-08-08 03:51:33,887,90,150,999,0,2024-11-12 03:51:33,,2025-01-05 03:51:33,5,0,M0,0
12,25,1192,2024-08-08 03:51:33,887,90,180,999,0,2024-11-12 03:51:33,,2025-02-04 03:51:33,6,0,M0,0
13,27,3971,2025-01-27 10:55:45,3510,120,0,999,0,2025-05-31 10:55:45,,2025-01-27 10:55:45,0,0,M0,1
13,27,3971,2025-01-27 10:55:45,3510,120,30,999,0,2025-05-31 10:55:45,,2025-02-26 10:55:45,1,0,M0,1
13,27,3971,2025-01-27 10:55:45,3510,120,60,999,0,2025-05-31 10:55:45,,2025-03-28 10:55:45,2,0,M0,1
13,27,3971,2025-01-27 10:55:45,3510,120,90,999,0,2025-05-31 10:55:45,,2025-04-27 10:55:45,3,0,M0,1
13,27,3971,2025-01-27 10:55:45,3510,120,120,999,0,2025-05-31 10:55:45,,2025-05-27 10:55:45,4,0,M0,1
13,27,3971,2025-01-27 10:55:45,3510,120,150,999,0,2025-05-31 10:55:45,,2025-06-26 10:55:45,5,0,M0,0
13,27,3971,2025-01-27 10:55:45,3510,120,180,999,0,2025-05-31 10:55:45,,2025-07-26 10:55:45,6,0,M0,0
14,31,120,2025-06-04 16:37:00,4716,14,0,17,15,2025-06-21 16:37:00,,2025-06-04 16:37:00,0,0,M0,1
14,31,120,2025-06-04 16:37:00,4716,14,30,17,15,2025-06-21 16:37:00,,2025-07-04 16:37:00,1,13,M1,0
14,31,120,2025-06-04 16:37:00,4716,14,60,17,15,2025-06-21 16:37:00,,2025-08-03 16:37:00,2,15,M1,0
14,31,120,2025-06-04 16:37:00,4716,14,90,17,15,2025-06-21 16:37:00,,2025-09-02 16:37:00,3,15,M1,0
14,31,120,2025-06-04 16:37:00,4716,14,120,17,15,2025-06-21 16:37:00,,2025-10-02 16:37:00,4,15,M1,0
14,31,120,2025-06-04 16:37:00,4716,14,150,17,15,2025-06-21 16:37:00,,2025-11-01 16:37:00,5,15,M1,0
14,31,120,2025-06-04 16:37:00,4716,14,180,17,15,2025-06-21 16:37:00,,2025-12-01 16:37:00,6,15,M1,0
15,32,3504,2024-09-16 11:08:36,1042,60,0,999,0,2024-11-24 11:08:36,,2024-09-16 11:08:36,0,0,M0,1
15,32,3504,2024-09-16 11:08:36,1042,60,30,999,0,2024-11-24 11:08:36,,2024-10-16 11:08:36,1,0,M0,1
15,32,3504,2024-09-16 11:08:36,1042,60,60,999,0,2024-11-24 11:08:36,,2024-11-15 11:08:36,2,0,M0,1
15,32,3504,2024-09-16 11:08:36,1042,60,90,999,0,2024-11-24 11:08:36,,2024-12-15 11:08:36,3,0,M0,0
15,32,3504,2024-09-16 11:08:36,1042,60,120,999,0,2024-11-24 11:08:36,,2025-01-14 11:08:36,4,0,M0,0
15,32,3504,2024-09-16 11:08:36,1042,60,150,999,0,2024-11-24 11:08:36,,2025-02-13 11:08:36,5,0,M0,0
15,32,3504,2024-09-16 11:08:36,1042,60,180,999,0,2024-11-24 11:08:36,,2025-03-15 11:08:36,6,0,M0,0
16,33,1344,2024-10-27 14:01:35,3378,30,0,999,0,2024-12-01 14:01:35,,2024-10-27 14:01:35,0,0,M0,1
16,33,1344,2024-10-27 14:01:35,3378,30,30,999,0,2024-12-01 14:01:35,,2024-11-26 14:01:35,1,0,M0,1
16,33,1344,2024-10-27 14:01:35,3378,30,60,999,0,2024-12-01 14:01:35,,2024-12-26 14:01:35,2,0,M0,0
16,33,1344,2024-10-27 14:01:35,3378,30,90,999,0,2024-12-01 14:01:35,,2025-01-25 14:01:35,3,0,M0,0
16,33,1344,2024-10-27 14:01:35,3378,30,120,999,0,2024-12-01 14:01:35,,2025-02-24 14:01:35,4,0,M0,0
16,33,1344,2024-10-27 14:01:35,3378,30,150,999,0,2024-12-01 14:01:35,,2025-03-26 14:01:35,5,0,M0,0
16,33,1344,2024-10-27 14:01:35,3378,30,180,999,0,2024-12-01 14:01:35,,2025-04-25 14:01:35,6,0,M0,0
17,35,227,2024-10-09 15:21:36,675,180,0,48,5,2025-04-07 15:21:36,,2024-10-09 15:21:36,0,0,M0,1
17,35,227,2024-10-09 15:21:36,675,180,30,48,5,2025-04-07 15:21:36,,2024-11-08 15:21:36,1,0,M0,1
17,35,227,2024-10-09 15:21:36,675,180,60,48,5,2025-04-07 15:21:36,,2024-12-08 15:21:36,2,5,M1,1
17,35,227,2024-10-09 15:21:36,675,180,90,48,5,2025-04-07 15:21:36,,2025-01-07 15:21:36,3,5,M1,1
17,35,227,2024-10-09 15:21:36,675,180,120,48,5,2025-04-07 15:21:36,,2025-02-06 15:21:36,4,5,M1,1
17,35,227,2024-10-09 15:21:36,675,180,150,48,5,2025-04-07 15:21:36,,2025-03-08 15:21:36,5,5,M1,1
17,35,227,2024-10-09 15:21:36,675,180,180,48,5,2025-04-07 15:21:36,,2025-04-07 15:21:36,6,5,M1,1
18,40,3703,2025-11-12 22:28:31,1393,60,0,999,0,2026-01-11 22:28:31,,2025-11-12 22:28:31,0,0,M0,1
18,40,3703,2025-11-12 22:28:31,1393,60,30,999,0,2026-01-11 22:28:31,,2025-12-12 22:28:31,1,0,M0,1
19,42,2590,2025-05-26 11:26:21,1930,60,0,999,0,2025-07-26 11:26:21,,2025-05-26 11:26:21,0,0,M0,1
19,42,2590,2025-05-26 11:26:21,1930,60,30,999,0,2025-07-26 11:26:21,,2025-06-25 11:26:21,1,0,M0,1
19,42,2590,2025-05-26 11:26:21,1930,60,60,999,0,2025-07-26 11:26:21,,2025-07-25 11:26:21,2,0,M0,1
19,42,2590,2025-05-26 11:26:21,1930,60,90,999,0,2025-07-26 11:26:21,,2025-08-24 11:26:21,3,0,M0,0
19,42,2590,2025-05-26 11:26:21,1930,60,120,999,0,2025-07-26 11:26:21,,2025-09-23 11:26:21,4,0,M0,0
19,42,2590,2025-05-26 11:26:21,1930,60,150,999,0,2025-07-26 11:26:21,,2025-10-23 11:26:21,5,0,M0,0
19,42,2590,2025-05-26 11:26:21,1930,60,180,999,0,2025-07-26 11:26:21,,2025-11-22 11:26:21,6,0,M0,0
20,43,4769,2024-08-06 15:00:36,1005,90,0,51,5,2024-11-15 15:00:36,,2024-08-06 15:00:36,0,0,M0,1
20,43,4769,2024-08-06 15:00:36,1005,90,30,51,5,2024-11-15 15:00:36,,2024-09-05 15:00:36,1,0,M0,1
20,43,4769,2024-08-06 15:00:36,1005,90,60,51,5,2024-11-15 15:00:36,,2024-10-05 15:00:36,2,5,M1,1
20,43,4769,2024-08-06 15:00:36,1005,90,90,51,5,2024-11-15 15:00:36,,2024-11-04 15:00:36,3,5,M1,1
20,43,4769,2024-08-06 15:00:36,1005,90,120,51,5,2024-11-15 15:00:36,,2024-12-04 15:00:36,4,5,M1,0
20,43,4769,2024-08-06 15:00:36,1005,90,150,51,5,2024-11-15 15:00:36,,2025-01-03 15:00:36,5,5,M1,0
20,43,4769,2024-08-06 15:00:36,1005,90,180,51,5,2024-11-15 15:00:36,,2025-02-02 15:00:36,6,5,M1,0
21,44,63,2024-05-10 01:42:49,1538,7,0,29,5,2024-05-20 01:42:49,,2024-05-10 01:42:49,0,0,M0,1
21,44,63,2024-05-10 01:42:49,1538,7,30,29,5,2024-05-20 01:42:49,,2024-06-09 01:42:49,1,1,M1,0
21,44,63,2024-05-10 01:42:49,1538,7,60,29,5,2024-05-20 01:42:49,,2024-07-09 01:42:49,2,5,M1,0
21,44,63,2024-05-10 01:42:49,1538,7,90,29,5,2024-05-20 01:42:49,,2024-08-08 01:42:49,3,5,M1,0
21,44,63,2024-05-10 01:42:49,1538,7,120,29,5,2024-05-20 01:42:49,,2024-09-07 01:42:49,4,5,M1,0
21,44,63,2024-05-10 01:42:49,1538,7,150,29,5,2024-05-20 01:42:49,,2024-10-07 01:42:49,5,5,M1,0
21,44,63,2024-05-10 01:42:49,1538,7,180,29,5,2024-05-20 01:42:49,,2024-11-06 01:42:49,6,5,M1,0
22,46,4699,2024-06-25 18:14:24,664,21,0,23,25,2024-07-21 18:14:24,,2024-06-25 18:14:24,0,0,M0,1
22,46,4699,2024-06-25 18:14:24,664,21,30,23,25,2024-07-21 18:14:24,,2024-07-25 18:14:24,1,7,M1,0
22,46,4699,2024-06-25 18:14:24,664,21,60,23,25,2024-07-21 18:14:24,,2024-08-24 18:14:24,2,25,M1,0
22,46,4699,2024-06-25 18:14:24,664,21,90,23,25,2024-07-21 18:14:24,,2024-09-23 18:14:24,3,25,M1,0
22,46,4699,2024-06-25 18:14:24,664,21,120,23,25,2024-07-21 18:14:24,,2024-10-23 18:14:24,4,25,M1,0
22,46,4699,2024-06-25 18:14:24,664,21,150,23,25,2024-07-21 18:14:24,,2024-11-22 18:14:24,5,25,M1,0
22,46,4699,2024-06-25 18:14:24,664,21,180,23,25,2024-07-21 18:14:24,,2024-12-22 18:14:24,6,25,M1,0
23,48,618,2025-03-01 03:31:23,2069,90,0,999,0,2025-06-09 03:31:23,,2025-03-01 03:31:23,0,0,M0,1
23,48,618,2025-03-01 03:31:23,2069,90,30,999,0,2025-06-09 03:31:23,,2025-03-31 03:31:23,1,0,M0,1
23,48,618,2025-03-01 03:31:23,2069,90,60,999,0,2025-06-09 03:31:23,,2025-04-30 03:31:23,2,0,M0,1
23,48,618,2025-03-01 03:31:23,2069,90,90,999,0,2025-06-09 03:31:23,,2025-05-30 03:31:23,3,0,M0,1
23,48,618,2025-03-01 03:31:23,2069,90,120,999,0,2025-06-09 03:31:23,,2025-06-29 03:31:23,4,0,M0,0
23,48,618,2025-03-01 03:31:23,2069,90,150,999,0,2025-06-09 03:31:23,,2025-07-29 03:31:23,5,0,M0,0
23,48,618,2025-03-01 03:31:23,2069,90,180,999,0,2025-06-09 03:31:23,,2025-08-28 03:31:23,6,0,M0,0
24,50,3902,2024-12-23 13:44:45,2315,30,0,999,0,2025-02-04 13:44:45,,2024-12-23 13:44:45,0,0,M0,1
24,50,3902,2024-12-23 13:44:45,2315,30,30,999,0,2025-02-04 13:44:45,,2025-01-22 13:44:45,1,0,M0,1
24,50,3902,2024-12-23 13:44:45,2315,30,60,999,0,2025-02-04 13:44:45,,2025-02-21 13:44:45,2,0,M0,0
24,50,3902,2024-12-23 13:44:45,2315,30,90,999,0,2025-02-04 13:44:45,,2025-03-23 13:44:45,3,0,M0,0
24,50,3902,2024-12-23 13:44:45,2315,30,120,999,0,2025-02-04 13:44:45,,2025-04-22 13:44:45,4,0,M0,0
24,50,3902,2024-12-23 13:44:45,2315,30,150,999,0,2025-02-04 13:44:45,,2025-05-22 13:44:45,5,0,M0,0
24,50,3902,2024-12-23 13:44:45,2315,30,180,999,0,2025-02-04 13:44:45,,2025-06-21 13:44:45,6,0,M0,0
25,52,4731,2025-01-05 06:56:50,2400,7,0,999,0,2025-01-26 06:56:50,,2025-01-05 06:56:50,0,0,M0,1
25,52,4731,2025-01-05 06:56:50,2400,7,30,999,0,2025-01-26 06:56:50,,2025-02-04 06:56:50,1,0,M0,0
25,52,4731,2025-01-05 06:56:50,2400,7,60,999,0,2025-01-26 06:56:50,,2025-03-06 06:56:50,2,0,M0,0
25,52,4731,2025-01-05 06:56:50,2400,7,90,999,0,2025-01-26 06:56:50,,2025-04-05 06:56:50,3,0,M0,0
25,52,4731,2025-01-05 06:56:50,2400,7,120,999,0,2025-01-26 06:56:50,,2025-05-05 06:56:50,4,0,M0,0
25,52,4731,2025-01-05 06:56:50,2400,7,150,999,0,2025-01-26 06:56:50,,2025-06-04 06:56:50,5,0,M0,0
25,52,4731,2025-01-05 06:56:50,2400,7,180,999,0,2025-01-26 06:56:50,,2025-07-04 06:56:50,6,0,M0,0
26,53,4380,2024-12-25 09:12:50,2649,14,0,999,0,2025-01-19 09:12:50,,2024-12-25 09:12:50,0,0,M0,1
26,53,4380,2024-12-25 09:12:50,2649,14,30,999,0,2025-01-19 09:12:50,,2025-01-24 09:12:50,1,0,M0,0
26,53,4380,2024-12-25 09:12:50,2649,14,60,999,0,2025-01-19 09:12:50,,2025-02-23 09:12:50,2,0,M0,0
26,53,4380,2024-12-25 09:12:50,2649,14,90,999,0,2025-01-19 09:12:50,,2025-03-25 09:12:50,3,0,M0,0
26,53,4380,2024-12-25 09:12:50,2649,14,120,999,0,2025-01-19 09:12:50,,2025-04-24 09:12:50,4,0,M0,0
26,53,4380,2024-12-25 09:12:50,2649,14,150,999,0,2025-01-19 09:12:50,,2025-05-24 09:12:50,5,0,M0,0
26,53,4380,2024-12-25 09:12:50,2649,14,180,999,0,2025-01-19 09:12:50,,2025-06-23 09:12:50,6,0,M0,0
27,54,3643,2024-12-23 10:21:35,3150,90,0,999,0,2025-03-31 10:21:35,,2024-12-23 10:21:35,0,0,M0,1
27,54,3643,2024-12-23 10:21:35,3150,90,30,999,0,2025-03-31 10:21:35,,2025-01-22 10:21:35,1,0,M0,1
27,54,3643,2024-12-23 10:21:35,3150,90,60,999,0,2025-03-31 10:21:35,,2025-02-21 10:21:35,2,0,M0,1
27,54,3643,2024-12-23 10:21:35,3150,90,90,999,0,2025-03-31 10:21:35,,2025-03-23 10:21:35,3,0,M0,1
27,54,3643,2024-12-23 10:21:35,3150,90,120,999,0,2025-03-31 10:21:35,,2025-04-22 10:21:35,4,0,M0,0
27,54,3643,2024-12-23 10:21:35,3150,90,150,999,0,2025-03-31 10:21:35,,2025-05-22 10:21:35,5,0,M0,0
27,54,3643,2024-12-23 10:21:35,3150,90,180,999,0,2025-03-31 10:21:35,,2025-06-21 10:21:35,6,0,M0,0
28,55,4620,2025-01-02 12:04:00,1942,7,0,999,0,2025-01-13 12:04:00,,2025-01-02 12:04:00,0,0,M0,1
28,55,4620,2025-01-02 12:04:00,1942,7,30,999,0,2025-01-13 12:04:00,,2025-02-01 12:04:00,1,0,M0,0
28,55,4620,2025-01-02 12:04:00,1942,7,60,999,0,2025-01-13 12:04:00,,2025-03-03 12:04:00,2,0,M0,0
28,55,4620,2025-01-02 12:04:00,1942,7,90,999,0,2025-01-13 12:04:00,,2025-04-02 12:04:00,3,0,M0,0
28,55,4620,2025-01-02 12:04:00,1942,7,120,999,0,2025-01-13 12:04:00,,2025-05-02 12:04:00,4,0,M0,0
28,55,4620,2025-01-02 12:04:00,1942,7,150,999,0,2025-01-13 12:04:00,,2025-06-01 12:04:00,5,0,M0,0
28,55,4620,2025-01-02 12:04:00,1942,7,180,999,0,2025-01-13 12:04:00,,2025-07-01 12:04:00,6,0,M0,0
29,58,1402,2024-03-26 04:35:09,1825,7,0,51,15,2024-04-11 04:35:09,,2024-03-26 04:35:09,0,0,M0,1
29,58,1402,2024-03-26 04:35:09,1825,7,30,51,15,2024-04-11 04:35:09,,2024-04-25 04:35:09,1,0,M0,0
29,58,1402,2024-03-26 04:35:09,1825,7,60,51,15,2024-04-11 04:35:09,,2024-05-25 04:35:09,2,9,M1,0
29,58,1402,2024-03-26 04:35:09,1825,7,90,51,15,2024-04-11 04:35:09,,2024-06-24 04:35:09,3,15,M1,0
29,58,1402,2024-03-26 04:35:09,1825,7,120,51,15,2024-04-11 04:35:09,,2024-07-24 04:35:09,4,15,M1,0
29,58,1402,2024-03-26 04:35:09,1825,7,150,51,15,2024-04-11 04:35:09,,2024-08-23 04:35:09,5,15,M1,0
29,58,1402,2024-03-26 04:35:09,1825,7,180,51,15,2024-04-11 04:35:09,,2024-09-22 04:35:09,6,15,M1,0
30,59,1352,2025-08-04 08:04:40,4538,90,0,999,0,2025-11-05 08:04:40,,2025-08-04 08:04:40,0,0,M0,1
30,59,1352,2025-08-04 08:04:40,4538,90,30,999,0,2025-11-05 08:04:40,,2025-09-03 08:04:40,1,0,M0,1
30,59,1352,2025-08-04 08:04:40,4538,90,60,999,0,2025-11-05 08:04:40,,2025-10-03 08:04:40,2,0,M0,1
30,59,1352,2025-08-04 08:04:40,4538,90,90,999,0,2025-11-05 08:04:40,,2025-11-02 08:04:40,3,0,M0,1
30,59,1352,2025-08-04 08:04:40,4538,90,120,999,0,2025-11-05 08:04:40,,2025-12-02 08:04:40,4,0,M0,0
31,63,3536,2025-02-05 23:46:13,1242,180,0,999,0,2025-08-12 23:46:13,,2025-02-05 23:46:13,0,0,M0,1
31,63,3536,2025-02-05 23:46:13,1242,180,30,999,0,2025-08-12 23:46:13,,2025-03-07 23:46:13,1,0,M0,1
31,63,3536,2025-02-05 23:46:13,1242,180,60,999,0,2025-08-12 23:46:13,,2025-04-06 23:46:13,2,0,M0,1
31,63,3536,2025-02-05 23:46:13,1242,180,90,999,0,2025-08-12 23:46:13,,2025-05-06 23:46:13,3,0,M0,1
31,63,3536,2025-02-05 23:46:13,1242,180,120,999,0,2025-08-12 23:46:13,,2025-06-05 23:46:13,4,0,M0,1
31,63,3536,2025-02-05 23:46:13,1242,180,150,999,0,2025-08-12 23:46:13,,2025-07-05 23:46:13,5,0,M0,1
31,63,3536,2025-02-05 23:46:13,1242,180,180,999,0,2025-08-12 23:46:13,,2025-08-04 23:46:13,6,0,M0,1
32,64,1113,2025-04-06 13:13:58,3298,90,0,999,0,2025-07-10 13:13:58,,2025-04-06 13:13:58,0,0,M0,1
32,64,1113,2025-04-06 13:13:58,3298,90,30,999,0,2025-07-10 13:13:58,,2025-05-06 13:13:58,1,0,M0,1
32,64,1113,2025-04-06 13:13:58,3298,90,60,999,0,2025-07-10 13:13:58,,2025-06-05 13:13:58,2,0,M0,1
32,64,1113,2025-04-06 13:13:58,3298,90,90,999,0,2025-07-10 13:13:58,,2025-07-05 13:13:58,3,0,M0,1
