column,dataset,value,count,rate
residence_years,valid,2,51,0.08762886597938144
residence_years,valid,0,45,0.07731958762886598
residence_years,valid,10,45,0.07731958762886598
emergency_contact_count,train,2,495,0.2129032258064516
emergency_contact_count,train,3,465,0.2
emergency_contact_count,train,4,464,0.1995698924731183
emergency_contact_count,train,1,459,0.19741935483870968
emergency_contact_count,train,5,442,0.19010752688172042
emergency_contact_count,valid,4,127,0.218213058419244
emergency_contact_count,valid,1,125,0.21477663230240548
emergency_contact_count,valid,5,117,0.20103092783505155
emergency_contact_count,valid,3,107,0.18384879725085912
emergency_contact_count,valid,2,106,0.18213058419243985
device_count,train,1,785,0.33763440860215055
device_count,train,3,782,0.3363440860215054
device_count,train,2,758,0.3260215053763441
device_count,valid,3,209,0.359106529209622
device_count,valid,2,188,0.3230240549828179
device_count,valid,1,185,0.3178694158075601
has_credit_card,train,0,1432,0.6159139784946237
has_credit_card,train,1,893,0.38408602150537635
has_credit_card,valid,0,359,0.6168384879725086
has_credit_card,valid,1,223,0.38316151202749144
delinq_12m,train,0,1849,0.7952688172043011
delinq_12m,train,1,319,0.13720430107526882
delinq_12m,train,2,107,0.046021505376344085
delinq_12m,train,3,34,0.014623655913978495
delinq_12m,train,4,13,0.005591397849462366
delinq_12m,train,5,3,0.0012903225806451613
delinq_12m,valid,0,465,0.7989690721649485
delinq_12m,valid,1,79,0.13573883161512026
delinq_12m,valid,2,29,0.04982817869415808
delinq_12m,valid,3,5,0.00859106529209622
delinq_12m,valid,4,4,0.006872852233676976
open_accounts,train,5,233,0.10021505376344086
open_accounts,train,8,224,0.09634408602150538
open_accounts,train,2,223,0.09591397849462366
open_accounts,train,3,223,0.09591397849462366
open_accounts,train,4,216,0.09290322580645162
open_accounts,train,6,215,0.09247311827956989
open_accounts,train,0,204,0.08774193548387096
open_accounts,train,10,200,0.08602150537634409
open_accounts,train,7,198,0.08516129032258064
open_accounts,train,1,197,0.08473118279569893
open_accounts,valid,1,59,0.1013745704467354
open_accounts,valid,4,59,0.1013745704467354
open_accounts,valid,7,58,0.09965635738831616
open_accounts,valid,8,57,0.0979381443298969
open_accounts,valid,3,54,0.09278350515463918
open_accounts,valid,10,53,0.09106529209621993
open_accounts,valid,6,52,0.08934707903780069
open_accounts,valid,0,51,0.08762886597938144
open_accounts,valid,2,50,0.0859106529209622
open_accounts,valid,5,48,0.08247422680412371
inquiry_3m,train,0,1104,0.47483870967741937
inquiry_3m,train,1,592,0.2546236559139785
inquiry_3m,train,2,320,0.13763440860215054
inquiry_3m,train,3,169,0.07268817204301076
inquiry_3m,train,4,84,0.03612903225806452
inquiry_3m,train,5,41,0.01763440860215054
inquiry_3m,train,6,15,0.0064516129032258064
inquiry_3m,valid,0,283,0.48625429553264604
inquiry_3m,valid,1,146,0.2508591065292096
inquiry_3m,valid,2,73,0.1254295532646048
inquiry_3m,valid,3,39,0.06701030927835051
inquiry_3m,valid,4,28,0.048109965635738834
inquiry_3m,valid,5,12,0.020618556701030927
inquiry_3m,valid,6,1,0.001718213058419244
device_cnt,train,1,785,0.33763440860215055
device_cnt,train,3,782,0.3363440860215054
device_cnt,train,2,758,0.3260215053763441
device_cnt,valid,3,209,0.359106529209622
device_cnt,valid,2,188,0.3230240549828179
device_cnt,valid,1,185,0.3178694158075601
brand_nunique,train,2,928,0.3991397849462366
brand_nunique,train,1,911,0.39182795698924733
brand_nunique,train,3,486,0.20903225806451614
brand_nunique,valid,2,254,0.436426116838488
brand_nunique,valid,1,204,0.35051546391752575
brand_nunique,valid,3,124,0.21305841924398625
emulator_any,train,0,2275,0.978494623655914
emulator_any,train,1,50,0.021505376344086023
emulator_any,valid,0,576,0.9896907216494846
emulator_any,valid,1,6,0.010309278350515464
emulator_rate,train,0.0,2275,0.978494623655914
emulator_rate,train,0.3333333333333333,25,0.010752688172043012
emulator_rate,train,0.5,14,0.006021505376344086
emulator_rate,train,1.0,8,0.0034408602150537634
emulator_rate,train,0.6666666666666666,3,0.0012903225806451613
emulator_rate,valid,0.0,576,0.9896907216494846
emulator_rate,valid,0.3333333333333333,3,0.005154639175257732
emulator_rate,valid,0.5,3,0.005154639175257732
rooted_any,train,0,2126,0.9144086021505377
rooted_any,train,1,199,0.08559139784946236
rooted_any,valid,0,528,0.9072164948453608
rooted_any,valid,1,54,0.09278350515463918
rooted_rate,train,0.0,2126,0.9144086021505377
rooted_rate,train,0.3333333333333333,86,0.036989247311827955
rooted_rate,train,0.5,71,0.03053763440860215
rooted_rate,train,1.0,38,0.016344086021505378
rooted_rate,train,0.6666666666666666,4,0.0017204301075268817
rooted_rate,valid,0.0,528,0.9072164948453608
rooted_rate,valid,0.3333333333333333,27,0.04639175257731959
rooted_rate,valid,0.5,15,0.02577319587628866
rooted_rate,valid,1.0,11,0.018900343642611683
rooted_rate,valid,0.6666666666666666,1,0.001718213058419244
ip_risk_level_mean,train,1.0,685,0.2946236559139785
ip_risk_level_mean,train,2.0,483,0.20774193548387096
ip_risk_level_mean,train,3.0,220,0.09462365591397849
ip_risk_level_mean,train,1.5,217,0.09333333333333334
ip_risk_level_mean,train,1.6666666666666667,159,0.06838709677419355
ip_risk_level_mean,train,1.3333333333333333,131,0.056344086021505375
ip_risk_level_mean,train,2.3333333333333335,129,0.05548387096774193
ip_risk_level_mean,train,2.5,101,0.043440860215053764
ip_risk_level_mean,train,2.6666666666666665,73,0.03139784946236559
ip_risk_level_mean,train,4.0,69,0.02967741935483871
ip_risk_level_mean,valid,1.0,157,0.2697594501718213
ip_risk_level_mean,valid,2.0,109,0.1872852233676976
ip_risk_level_mean,valid,1.6666666666666667,50,0.0859106529209622
ip_risk_level_mean,valid,3.0,50,0.0859106529209622
ip_risk_level_mean,valid,1.5,49,0.08419243986254296
ip_risk_level_mean,valid,2.3333333333333335,33,0.05670103092783505
ip_risk_level_mean,valid,1.3333333333333333,32,0.054982817869415807
ip_risk_level_mean,valid,2.5,31,0.05326460481099656
ip_risk_level_mean,valid,2.6666666666666665,21,0.03608247422680412
ip_risk_level_mean,valid,4.0,19,0.03264604810996564
ip_risk_level_max,train,2.0,685,0.2946236559139785
ip_risk_level_max,train,1.0,685,0.2946236559139785
ip_risk_level_max,train,3.0,542,0.23311827956989248
ip_risk_level_max,train,4.0,283,0.12172043010752688
ip_risk_level_max,train,5.0,130,0.05591397849462366
ip_risk_level_max,valid,1.0,157,0.2697594501718213
ip_risk_level_max,valid,2.0,155,0.2663230240549828
ip_risk_level_max,valid,3.0,135,0.23195876288659795
ip_risk_level_max,valid,4.0,87,0.14948453608247422
ip_risk_level_max,valid,5.0,48,0.08247422680412371
geo_consistent_rate,train,1.0,1940,0.8344086021505376
geo_consistent_rate,train,0.6666666666666666,188,0.08086021505376344
geo_consistent_rate,train,0.5,105,0.04516129032258064
geo_consistent_rate,train,0.0,78,0.03354838709677419
geo_consistent_rate,train,0.3333333333333333,14,0.006021505376344086
geo_consistent_rate,valid,1.0,473,0.8127147766323024
geo_consistent_rate,valid,0.6666666666666666,49,0.08419243986254296
geo_consistent_rate,valid,0.5,28,0.048109965635738834
geo_consistent_rate,valid,0.0,27,0.04639175257731959
geo_consistent_rate,valid,0.3333333333333333,5,0.00859106529209622
android_share,train,1.0,1469,0.6318279569892473
android_share,train,0.6666666666666666,310,0.13333333333333333
android_share,train,0.5,246,0.10580645161290322
android_share,train,0.0,211,0.09075268817204302
android_share,train,0.3333333333333333,89,0.038279569892473116
android_share,valid,1.0,381,0.654639175257732
android_share,valid,0.6666666666666666,74,0.12714776632302405
android_share,valid,0.5,57,0.0979381443298969
android_share,valid,0.0,53,0.09106529209621993
android_share,valid,0.3333333333333333,17,0.029209621993127148
apply_dayofweek,train,5,382,0.1643010752688172
apply_dayofweek,train,0,333,0.1432258064516129
apply_dayofweek,train,1,333,0.1432258064516129
apply_dayofweek,train,2,329,0.14150537634408603
apply_dayofweek,train,3,318,0.1367741935483871
apply_dayofweek,train,6,318,0.1367741935483871
apply_dayofweek,train,4,312,0.13419354838709677
apply_dayofweek,valid,2,101,0.17353951890034364
apply_dayofweek,valid,0,91,0.1563573883161512
apply_dayofweek,valid,5,90,0.15463917525773196
apply_dayofweek,valid,6,82,0.140893470790378
apply_dayofweek,valid,1,80,0.13745704467353953
apply_dayofweek,valid,4,69,0.11855670103092783
apply_dayofweek,valid,3,69,0.11855670103092783
apply_month,train,2,296,0.12731182795698925
apply_month,train,3,280,0.12043010752688173
apply_month,train,4,279,0.12
apply_month,train,5,252,0.10838709677419354
apply_month,train,6,174,0.07483870967741936
apply_month,train,1,170,0.07311827956989247
apply_month,train,12,156,0.06709677419354838
apply_month,train,10,154,0.06623655913978495
apply_month,train,11,150,0.06451612903225806
apply_month,train,8,141,0.06064516129032258
apply_month,valid,6,149,0.25601374570446733
apply_month,valid,7,140,0.24054982817869416
apply_month,valid,8,135,0.23195876288659795
apply_month,valid,9,100,0.1718213058419244
apply_month,valid,5,58,0.09965635738831616
